active_ingredient,medicine_count,drug_class,method,top_sub_category
iron,88,Iron supplement,llm,Haematinics Iron And All Combinations
dydrogesterone,88,Progestogen,lookup,Hormonal Contraceptives Systemic
hydroxyprogesterone,88,Progestogen,lookup,Hormonal Contraceptives Systemic
allylestrenol,88,Progestogen,lookup,Hormonal Contraceptives Systemic
mirabegron,88,Overactive bladder agent,lookup,Urinary Incontinence Products
benzathine penicillin g,84,Penicillin,subcategory,Medium And Narrow Spectrum Penicillins
darbepoetin alfa,84,Erythropoiesis-stimulating agent,llm,Erythropoietin Products
granisetron,84,5-HT3 receptor antagonist,lookup,Serotonin Antagonist Antiemetics Antinauseants
orciprenaline,84,Beta-2 agonist (bronchodilator),llm,Bronchodilators
coenzyme q10,82,Antioxidant / micronutrient,lookup,Gonadotrophins Including Other Ovulation Stimulants
carbidopa,81,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
pramipexole,81,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
levocloperastine,81,Antitussive,llm,Antitussive Bronchodilator Expectorant
pyrantel pamoate,80,Anthelmintic,lookup,Anthelmintics Excluding Schistosomicides
vancomycin,80,Glycopeptide,lookup,Other Antibacterials
heparin,80,Heparin / low-molecular-weight heparin,stem,Heparins
fluorometholone,80,Corticosteroid,llm,Eye Ear Anti Infectives Corticosteroid Combinations
disodium hydrogen citrate,80,Electrolyte / rehydration,lookup,All Other Urological Products
calcium,79,Mineral / electrolyte supplement,llm,Calcium Products
ispaghula,78,Bulk laxative,lookup,Bulk Producers
benzydamine,77,,unmapped,Topical Anti Rheumatic Non Steroidal
diethylcarbamazine,76,Anthelmintic,lookup,Other Anti Parasitic Agents
perindopril erbumine,76,ACE inhibitor,llm,Ace Inhibitors Plain
tretinoin,76,Topical retinoid,lookup,Topical Anti Acne Preparations
nadifloxacin,76,Topical antibacterial (acne/skin),lookup,Topical Antibiotics And Or Sulphonamids
methylergometrine,76,Ergot alkaloid,lookup,Labour Inducers
nitrazepam,76,Benzodiazepine,lookup,Hypnotics Sedatives
caspofungin,76,Echinocandin antifungal,lookup,Varicose Therapy Systemic
netilmicin,75,Aminoglycoside,lookup,Aminoglycosides
testosterone,74,Androgen,llm,All Other Therapeutic Products
chlorbutol,73,Antiseptic / disinfectant,llm,Other Otologicals
efavirenz,72,Antiretroviral,lookup,Hiv Antivirals
lamivudine,72,Antiretroviral,lookup,Hiv Antivirals
teicoplanin,72,Glycopeptide,lookup,Other Antibacterials
tamoxifen,72,Selective estrogen receptor modulator,lookup,Cytostatic Hormone Antagonists
hyoscine butylbromide,72,Antispasmodic (anticholinergic/musculotropic),lookup,Plain Antispasmodics And Anticholinergics
meclizine,72,Antihistamine (1st generation),lookup,Other Antiemetics And Antinauseants
paradichlorobenzene,72,Antiseptic / disinfectant,llm,Other Otologicals
turpentine oil,72,Counterirritant / topical analgesic,llm,Other Otologicals
bisacodyl,70,Stimulant laxative,lookup,Contact Laxatives
zinc sulfate,70,Corticosteroid,subcategory,Systemic Corticosteroids Plain
brimonidine,70,Alpha-2 adrenergic agonist (antiglaucoma),llm,Miotics And Antiglaucoma Preparations
meloxicam,68,NSAID,lookup,Topical Anti Rheumatic Non Steroidal
alfuzosin,68,Alpha-1 blocker (uroselective),lookup,Benign Prostatic Hypertrophy Bph Products
dehydroepiandrosterone,66,Androgen,llm,Androgens Excluding G3 E G3 F
diloxanide,65,,unmapped,Amebicides
capecitabine,65,Cytotoxic chemotherapy,llm,Antimetabolites
vitamin c,65,Vitamin C,lookup,Haematinics Iron And All Combinations
fluticasone furoate,65,Corticosteroid,lookup,Topical Nasal Preparations Steroidal
ertapenem,64,Carbapenem,lookup,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
minocycline,64,Tetracycline,lookup,Tetracyclines And Combinations
amlexanox,64,,unmapped,All Other Anti Ulcerants
lurasidone,64,Atypical antipsychotic,lookup,Atypical Antipsychotics
phenazone,63,Analgesic / antipyretic,subcategory,Non Narcotics And Anti Pyretics
resveratrol,63,Antioxidant / cytoprotective,llm,Methylcobalamin Combinations
albumin,62,Plasma volume expander,llm,Dextrans
lisinopril,62,ACE inhibitor,lookup,Ace Inhibitors Plain
vinpocetine,61,Nootropic / neurotrophic,lookup,Vinca Alkaloids And Other Plant Products
azathioprine,60,Immunosuppressant / DMARD,lookup,Immunosuppressive Agents
chlorhexidine gluconate,60,Antiseptic / disinfectant,llm,Topical Corticosteroid Combinations
rebamipide,60,Mucosal protectant,lookup,Antacids Antiflatulents And Carminatives
travoprost,60,Prostaglandin analogue (ophthalmic),lookup,Miotics And Antiglaucoma Preparations
bimatoprost,60,Prostaglandin analogue (ophthalmic),lookup,Miotics And Antiglaucoma Preparations
oxymetazoline,60,Nasal / systemic decongestant (sympathomimetic),lookup,Other Opthalmologicals
eperisone,60,Skeletal muscle relaxant,lookup,Muscle Relaxants Centrally Acting
hyaluronic acid,60,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
fluorouracil,58,Cytotoxic chemotherapy,llm,Alkylating Agents
octreotide acetate,58,Somatostatin analogue,llm,Antigrowth Hormones
streptomycin,57,Aminoglycoside,lookup,Antitubercular Products
disulfiram,57,Alcohol deterrent (ALDH inhibitor),llm,Drugs Used In Alcohol Dependence
prulifloxacin,56,Fluoroquinolone,stem,Fluoroquinolones
entecavir,56,Antiviral (anti-hepatitis),lookup,Hiv Antivirals
tenofovir alafenamide,56,Antiretroviral,lookup,Hiv Antivirals
emtricitabine,56,Antiretroviral,lookup,Hiv Antivirals
tigecycline,56,Tetracycline,lookup,Other Antibacterials
dextrose,56,IV fluid / parenteral nutrition,llm,Standard Solutions
glycerin,56,,unmapped,Solutions For Osmotic Therapy
glutathione,56,Antioxidant / cytoprotective,llm,Hepatic Protectors Lipotropics
ritodrine,56,Tocolytic,llm,Labour Inhibitors
triprolidine,56,Antihistamine (1st generation),lookup,Antitussives With Codeine
valacyclovir,55,Antiviral (nucleoside analogue),lookup,Antivirals Excluding Hiv Products
tocilizumab,54,Biologic DMARD (anti-TNF / interleukin),lookup,All Other Antineoplastics
bevacizumab,54,Monoclonal antibody,stem,All Other Antineoplastics
abiraterone acetate,54,Antineoplastic - hormonal,llm,All Other Antineoplastics
colchicine,54,Anti-gout (acute),lookup,Anti Gout Preparations
tolvaptan,54,Vasopressin V2 receptor antagonist,llm,All Other Urological Products
selenium,53,Antioxidant / micronutrient,lookup,Topical Dermatological Antifungals
citric acid,53,,unmapped,All Other Urological Products
phenoxyethanol,52,Preservative / antimicrobial excipient,llm,Topical Dermatological Antifungals
eberconazole,52,Azole antifungal,lookup,Topical Dermatological Antifungals
cetrimide,52,Antiseptic / disinfectant,lookup,Topical Dermatological Antifungals
oxiconazole,52,Azole antifungal,lookup,Topical Dermatological Antifungals
oxychloro complex,52,Ophthalmic preservative / oxidant,llm,Artificial Tears And Ocular Lubricants
allopurinol,52,Xanthine oxidase inhibitor,lookup,Anti Gout Preparations
inactivated influenza vaccine,52,Vaccine,llm,Pure Vaccines
arterolane,51,Antimalarial,lookup,Other Anti Malarials
piperaquine,51,Antimalarial,lookup,Other Anti Malarials
mefloquine,51,Antimalarial,lookup,Other Anti Malarials
quinine,51,Antimalarial,lookup,Other Anti Malarials
fenticonazole,51,Azole antifungal,lookup,Topical Dermatological Antifungals
leuprolide,51,Antineoplastic - hormonal,llm,Gonadotrophins Including Other Ovulation Stimulants
atracurium,51,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
sofosbuvir,50,Antiviral (anti-hepatitis),lookup,Antivirals Excluding Hiv Products
voriconazole,50,Azole antifungal,lookup,Systemic Agents For Fungal Infections
docetaxel,50,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
dorzolamide,50,Carbonic anhydrase inhibitor,lookup,Miotics And Antiglaucoma Preparations
calcitonin,50,Calcitonin,llm,Medicines For Osteoporosis
human normal immunoglobulin,50,Immunoglobulin / antiserum,llm,Polyvalent Immunoglobulins Intramuscular
latanoprost,49,Prostaglandin analogue (ophthalmic),lookup,Miotics And Antiglaucoma Preparations
anastrozole,48,Aromatase inhibitor,lookup,Cytostatic Hormone Antagonists
cyclobenzaprine,48,Skeletal muscle relaxant,lookup,Muscle Relaxants Centrally Acting
apremilast,48,Immunosuppressant / DMARD,lookup,Products For Treatment Of Rheumatoid Arthritis
pirfenidone,48,Antifibrotic,llm,Respiratory Stimulants
alpha ketoanalogue,48,,unmapped,Urinary Incontinence Products
solifenacin,48,Overactive bladder agent,lookup,Urinary Incontinence Products
coal tar,47,Keratolytic,lookup,Topical Corticosteroid Combinations
filgrastim,46,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
modafinil,46,Stimulant / wakefulness agent,lookup,Nootropics
pyritinol,46,Nootropic / neurotrophic,subcategory,Nootropics
famciclovir,45,Antiviral (nucleoside analogue),lookup,Antivirals Excluding Hiv Products
flurbiprofen,45,NSAID,lookup,Opthalmological Nsaids
zoledronic acid,45,Bisphosphonate,lookup,Medicines For Osteoporosis
leflunomide,45,Immunosuppressant / DMARD,lookup,Products For Treatment Of Rheumatoid Arthritis
magnesium citrate,45,Mineral / electrolyte supplement,llm,All Other Urological Products
tetracycline,44,Tetracycline,lookup,Tetracyclines And Combinations
prasugrel,44,Antiplatelet (P2Y12 inhibitor),lookup,Platelet Aggregation Inhibitors
caroverine,44,Antispasmodic (anticholinergic/musculotropic),llm,Antispasmodics Combined With Other Products
dienogest,44,Progestogen,llm,Hormonal Contraceptives Systemic
estriol,44,Estrogen,lookup,Hormonal Contraceptives Systemic
conjugated estrogens,44,Estrogen,lookup,Hormonal Contraceptives Systemic
ginkgo biloba,44,Nootropic / neurotrophic,lookup,Nootropics
bromfenac,44,NSAID (ophthalmic),llm,Opthalmological Nsaids
mitomycin,42,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
calcium leucovorin,42,Folinic acid rescue / detox agent,llm,Detoxifying Agents For Antineoplastic Treatment
desogestrel,42,Progestogen,lookup,Oestrogen With Progestogen Combinations Excluding G3 A
bupropion,42,Atypical antidepressant,lookup,Anti Smoking Products
tiotropium,42,Antimuscarinic bronchodilator,lookup,Bronchodilators
indacaterol,42,Beta-2 agonist (bronchodilator),lookup,Bronchodilators
dithranol,41,Antipsoriatic,llm,Topical Corticosteroid Combinations
sodium cromoglycate,41,Mast cell stabiliser,lookup,Topical Nasal Preparations Non Steroidal
insulin isophane/nph,40,Insulin,llm,Human Insulins And Analogues
human insulin/soluble insulin,40,Insulin,llm,Human Insulins And Analogues
mebendazole,40,Anthelmintic,lookup,Anthelmintics Excluding Schistosomicides
levamisole,40,Anthelmintic,lookup,Anthelmintics Excluding Schistosomicides
vitamin k,40,Vitamin K,lookup,Antifibrinolytics
fluocinolone acetonide,40,Corticosteroid (topical/inhaled),stem,Topical Corticosteroid Combinations
terlipressin,40,Vasopressin analogue,llm,Antidiuretic Hormones
camphor,40,Counterirritant / topical analgesic,llm,Ocular Anti Allergics Decongestants Antiseptics
alendronic acid,40,Bisphosphonate,lookup,Medicines For Osteoporosis
oxaceprol,40,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
menadione,39,Vitamin K,lookup,Antifibrinolytics
clobetasone,39,Corticosteroid,lookup,Topical Corticosteroid Combinations
sodium fusidate,38,Topical antibacterial (acne/skin),lookup,Topical Antibiotics And Or Sulphonamids
drospirenone,38,Progestogen,lookup,Oestrogen With Progestogen Combinations Excluding G3 A
haloperidol decanoate,38,Typical antipsychotic,llm,Conventional Antipsychotics
potassium chloride,37,Electrolyte / rehydration,lookup,Standard Solutions
sulphacetamide,37,,unmapped,Topical Antibiotics And Or Sulphonamids
lenalidomide,36,Immunomodulatory imide (IMiD),llm,Drugs For Treatment Of Lepra
nintedanib,36,Kinase inhibitor,llm,All Other Antineoplastics
sorafenib,36,Kinase inhibitor,llm,All Other Antineoplastics
rituximab,36,Biologic DMARD (anti-TNF / interleukin),lookup,All Other Antineoplastics
lenvatinib,36,Kinase inhibitor,stem,All Other Antineoplastics
trastuzumab,36,Monoclonal antibody,stem,All Other Antineoplastics
aprepitant,36,NK1 receptor antagonist,lookup,Other Antiemetics And Antinauseants
danazol,36,Androgen,llm,Androgens Excluding G3 E G3 F
ropinirole,36,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
bethanechol,36,Cholinomimetic (bladder/GI),llm,All Other Urological Products
human insulin,35,Insulin,lookup,Human Insulin Rapid
velpatasvir,35,Antiviral (anti-hepatitis),lookup,Antivirals Excluding Hiv Products
atomoxetine,35,Stimulant / wakefulness agent,lookup,All Other Cns Drugs
morphine,35,Opioid analgesic,lookup,Narcotics
fentanyl,35,Opioid analgesic,lookup,Narcotics
tribasic calcium phosphate,34,Mineral / electrolyte supplement,llm,Antifibrinolytics
citrus bioflavonoid,34,Bioflavonoid,llm,Antifibrinolytics
menotrophin,34,Gonadotropin,llm,Gonadotrophins Including Other Ovulation Stimulants
riluzole,34,Neurodegenerative disease agent,llm,Tranquillisers
buspirone,34,Anxiolytic (azapirone),lookup,Tranquillisers
ketoprofen,34,NSAID,lookup,Topical Anti Rheumatic Non Steroidal
clofazimine,33,,unmapped,Drugs For Treatment Of Lepra
ferrous ascorbate,33,Iron supplement,lookup,Haematinics Iron And All Combinations
pyridostigmine,33,Cholinesterase inhibitor,llm,Anti Alzheimer Products
gatifloxacin,33,Fluoroquinolone,stem,Eye Ear Anti Infectives Corticosteroid Combinations
aztreonam,32,,unmapped,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
pegylated interferon alpha 2b,32,Interferon,llm,Interferons
magnesium trisilicate,32,Antacid,llm,All Other Anti Ulcerants
rizatriptan,32,Triptan (5-HT1B/1D agonist),lookup,Anti Migraine Preparations
nicotine,32,Smoking cessation aid,llm,Anti Smoking Products
tropicamide,32,Mydriatic / cycloplegic,llm,Mydriatics And Cyclopegics
pralidoxime,32,Cholinesterase reactivator,llm,Antidotes
ibandronic acid,32,Bisphosphonate,stem,Medicines For Osteoporosis
tolterodine,32,Overactive bladder agent,lookup,Urinary Incontinence Products
oxybutynin,32,Overactive bladder agent,lookup,Urinary Incontinence Products
epalrestat,31,Aldose reductase inhibitor,llm,Other Drugs Used In Diabetes
insulin isophane,30,Insulin,lookup,Human Insulin Basal
thalidomide,30,Immunomodulatory imide (IMiD),llm,Drugs For Treatment Of Lepra
mannitol,30,Osmotic diuretic,llm,Solutions For Osmotic Therapy
azelaic acid,30,Topical anti-acne,llm,Topical Anti Acne Preparations
sumatriptan,30,Triptan (5-HT1B/1D agonist),lookup,Anti Migraine Preparations
propofol,30,General anaesthetic,llm,Anaesthetics General Injectables
nifedipine,30,Calcium channel blocker (dihydropyridine),lookup,Anaesthetics Local
glucosamine sulfate potassium chloride,30,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
chondroitin,30,SYSADOA (osteoarthritis),llm,Products For Treatment Of Osteoarthritis
anti rh d immunoglobulin,30,Immunoglobulin / antiserum,llm,Polyvalent Immunoglobulins Intramuscular
buprenorphine,29,Opioid analgesic,lookup,Drugs Used In Opioid Dependence
tetanus toxoid,29,Vaccine,llm,All Other Vaccines
insulin aspart,28,Insulin,lookup,Human Insulins And Analogues
balofloxacin,28,Fluoroquinolone,stem,Fluoroquinolones
penicillin v,28,Penicillin,lookup,Medium And Narrow Spectrum Penicillins
ifosfamide,28,Cytotoxic chemotherapy,llm,Alkylating Agents
bleomycin,28,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
epirubicin,28,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
oxytocin,28,Uterotonic,llm,Labour Inducers
cabergoline,28,Dopamine agonist (prolactin inhibitor),llm,Prolactin Inhibitors
fludrocortisone,28,Corticosteroid,stem,Systemic Corticosteroids Plain
stabilized oxychloro,28,Ophthalmic preservative / oxidant,llm,Miotics And Antiglaucoma Preparations
bromocriptine,27,Dopamine agonist (prolactin inhibitor),llm,Anti Parkinson Drugs
vecuronium,27,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
ulinastatin,27,Statin (HMG-CoA reductase inhibitor),stem,All Other Urological Products
lapatinib,26,Kinase inhibitor,stem,Antimetabolites
mesna,26,Uroprotectant (chemotherapy),llm,Detoxifying Agents For Antineoplastic Treatment
calcipotriol,26,Antipsoriatic,llm,Topical Antipsoriasis Products
ciclosporin,26,Immunosuppressant (calcineurin / mTOR),lookup,Artificial Tears And Ocular Lubricants
boric acid,26,Antiseptic / disinfectant,lookup,Ocular Anti Allergics Decongestants Antiseptics
ketamine,26,General anaesthetic,llm,Anaesthetics General Injectables
thiamine,25,Vitamin B1,lookup,B Complex
acitretin,25,Antipsoriatic,llm,Systemic Antipsoriasis Prodcuts
choline,25,Nootropic / neurotrophic,llm,Appetite Stimulants
ritonavir,24,Antiretroviral,lookup,Hiv Antivirals
lopinavir,24,Antiretroviral,lookup,Hiv Antivirals
chlorambucil,24,Cytotoxic chemotherapy,llm,Alkylating Agents
lomustine,24,Cytotoxic chemotherapy,llm,Alkylating Agents
bicalutamide,24,Antineoplastic - hormonal,llm,Cytostatic Hormone Antagonists
interferon alpha 2b,24,Interferon,llm,Interferons
benzyl nicotinate,24,Rubefacient / peripheral vasodilator,llm,Heparins
dextropropoxyphene,24,Opioid analgesic,llm,Antispasmodic Analgesic Combinations
sulfasalazine,24,Aminosalicylate,lookup,Intestinal Anti Inflammatory Agents
otilonium bromide,24,Antispasmodic (anticholinergic/musculotropic),llm,Plain Antispasmodics And Anticholinergics
palonosetron,24,5-HT3 receptor antagonist,lookup,Serotonin Antagonist Antiemetics Antinauseants
carboprost,24,Prostaglandin analogue,stem,Labour Inducers
prilocaine,24,Local anaesthetic,lookup,Anaesthetics Local
darifenacin,24,Overactive bladder agent,lookup,Urinary Incontinence Products
rabies vaccine,24,Vaccine,llm,Pure Vaccines
human,24,,unmapped,Pure Vaccines
allantoin,23,Hydantoin anticonvulsant,stem,Topical Anti Acne Preparations
nitroglycerin,23,Nitrate vasodilator,lookup,Nitrites And Nitrates
neostigmine,23,Cholinesterase inhibitor,llm,Plain Antispasmodics And Anticholinergics
carbimazole,23,Antithyroid,lookup,Anti Thyroid Preparation
sulbutiamine,23,Nootropic / neurotrophic,subcategory,Nootropics
pegfilgrastim,22,Colony-stimulating factor,llm,Immunostimulating Agents Excluding Interferons
iron isomaltoside,22,Iron supplement,llm,Haematinics Iron And All Combinations
desmopressin,22,Vasopressin analogue,llm,Antidiuretic Hormones
somatostatin,22,Statin (HMG-CoA reductase inhibitor),stem,Antigrowth Hormones
alpha glycerylphosphorylcholine,22,Nootropic / neurotrophic,llm,Anti Alzheimer Products
rivastigmine,22,Cholinesterase inhibitor,lookup,Anti Alzheimer Products
kanamycin,21,Aminoglycoside,lookup,Aminoglycosides
dapsone,21,Corticosteroid,stem,Drugs For Treatment Of Lepra
mitoxantrone,21,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
daunorubicin,21,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
calcium chloride,21,Mineral / electrolyte supplement,llm,Standard Solutions
teriparatide,21,Parathyroid hormone analogue,llm,Anti Osteoporotic Products
vitamin a,21,Vitamin A,lookup,Other Vitamins
insulin glargine,20,Insulin,lookup,Insulin Analogues Basal
amantadine,20,Dopaminergic anti-parkinson,lookup,Antivirals Excluding Hiv Products
vincristine,20,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
vinblastine,20,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
sodium lactate,20,Mineral / electrolyte supplement,llm,Standard Solutions
indapamide,20,Thiazide / thiazide-like diuretic,lookup,Ace Inhibitors Combined With Diuretics
acetazolamide,20,Carbonic anhydrase inhibitor,lookup,Miotics And Antiglaucoma Preparations
pilocarpine,20,Cholinergic miotic,llm,Miotics And Antiglaucoma Preparations
denosumab,20,Monoclonal antibody,stem,Medicines For Osteoporosis
butorphanol,20,Opioid analgesic,llm,Narcotics
amylmetacresol,20,Antiseptic lozenge,llm,Antitussives Without Codeine
vitamin b,20,B-complex (multi),llm,B Complex
cyanocobalamin,19,Vitamin B12,lookup,Haematinics Iron And All Combinations
ezetimibe,19,Other lipid-lowering,lookup,All Other Cholesterol Triglyceride Regulators
cetrorelix,19,GnRH antagonist,llm,Antigonadotrphin Releasing Hormones
zuclopenthixol,19,Typical antipsychotic,lookup,Conventional Antipsychotics
thioridazine,19,Typical antipsychotic,lookup,Conventional Antipsychotics
triclofos,19,Sedative-hypnotic (chloral group),llm,Hypnotics Sedatives
oxazepam,19,Benzodiazepine,lookup,Hypnotics Sedatives
brinzolamide,19,Carbonic anhydrase inhibitor,lookup,Miotics And Antiglaucoma Preparations
insulin lispro,18,Insulin,lookup,Human Insulins And Analogues
pazopanib,18,Kinase inhibitor,llm,All Other Antineoplastics
ribociclib,18,CDK4/6 inhibitor,stem,All Other Antineoplastics
gefitinib,18,Kinase inhibitor,stem,All Other Antineoplastics
nivolumab,18,Monoclonal antibody,stem,All Other Antineoplastics
pembrolizumab,18,Monoclonal antibody,stem,All Other Antineoplastics
ruxolitinib,18,Kinase inhibitor,stem,All Other Antineoplastics
dasatinib,18,Kinase inhibitor,stem,All Other Antineoplastics
erlotinib,18,Kinase inhibitor,stem,All Other Antineoplastics
enalaprilat,18,ACE inhibitor,subcategory,Ace Inhibitors Plain
isosorbide mononitrate,18,Nitrate vasodilator,lookup,Nitrites And Nitrates
benzoic acid,18,Preservative / antimicrobial excipient,llm,Softners Emollients
magnesium sulphate,18,Electrolyte / rehydration,lookup,Softners Emollients
vasopressin,18,Vasopressin analogue,llm,Antidiuretic Hormones
tetrabenazine,18,Phenothiazine,stem,Anti Parkinson Drugs
rasagiline,18,Dopaminergic anti-parkinson,lookup,Anti Parkinson Drugs
thiopental sodium,18,General anaesthetic,llm,Anaesthetics General Injectables
probenecid,18,Uricosuric,lookup,Anti Gout Preparations
rocuronium,18,Neuromuscular blocking agent,llm,Muscle Relaxants Peripherally Acting
pertussis toxoid,18,Vaccine,llm,All Other Vaccines
megestrol,17,Progestogen,llm,Cytostatic Hormones
astaxanthin,17,Antioxidant / micronutrient,lookup,Gonadotrophins Including Other Ovulation Stimulants
enclomiphene,17,,unmapped,Gonadotrophins Including Other Ovulation Stimulants
urofollitropin,17,Gonadotropin,llm,Gonadotrophins Including Other Ovulation Stimulants
recombinant follicle stimulating hormone,17,Gonadotropin,llm,Gonadotrophins Including Other Ovulation Stimulants
raloxifene,17,Selective estrogen receptor modulator,lookup,Selective Oestrogen Receptor Modulators Serms
d-panthenol,17,Vitamin B5 (pantothenic acid),llm,Products For Treatment Of Osteoarthritis
terpin hydrate,17,Antitussive,llm,Antitussive Bronchodilator Expectorant
zidovudine,16,Antiretroviral,lookup,Hiv Antivirals
nevirapine,16,Antiretroviral,lookup,Hiv Antivirals
lymecycline,16,Tetracycline,stem,Tetracyclines And Combinations
dalteparin,16,Heparin / low-molecular-weight heparin,stem,Heparins
deferasirox,16,Antidote / chelator,lookup,Iron Chelating Agents
nebivolol,16,Beta blocker,lookup,Angiotensin Ii Antagonists Beta Blockers
atenolol,16,Beta blocker,lookup,Angiotensin Ii Antagonists Beta Blockers
calcitriol,16,Vitamin D analogue,lookup,Other Vitamins
isopropamide,16,Antispasmodic (anticholinergic/musculotropic),llm,Antispasmodic Ataractic Combinations
dinoprostone,16,Prostaglandin (obstetric),llm,Labour Inducers
metadoxine,16,Alcohol metabolism modifier,llm,Drugs Used In Alcohol Dependence
homatropine,16,Mydriatic / cycloplegic,llm,Mydriatics And Cyclopegics
pneumococcal polysaccharide vaccine,16,Vaccine,llm,Pure Vaccines
cefepime,15,Cephalosporin,lookup,Aminoglycosides
ganciclovir,15,Antiviral (nucleoside analogue),lookup,Antivirals Excluding Hiv Products
mycophenolate sodium,15,Immunosuppressant / DMARD,lookup,Immunosuppressive Agents
dimethyl fumarate,15,Multiple sclerosis immunomodulator,llm,Immunosuppressive Agents
mesterolone,15,Androgen,llm,Androgens Excluding G3 E G3 F
risedronate,15,Bisphosphonate,lookup,Medicines For Osteoporosis
roflumilast,15,PDE4 inhibitor,llm,Pde4 Inhibitors For Asthma Copd
hepatitis b vaccine,15,Vaccine,llm,Pure Vaccines
garenoxacin,14,Fluoroquinolone,llm,Fluoroquinolones
dactinomycin,14,Cytotoxic chemotherapy,llm,Antineoplastic Antibiotics
ornithine,14,Amino acid / nutritional,llm,Hepatic Protectors Lipotropics
edaravone,14,Neurodegenerative disease agent,llm,All Other Cns Drugs
diphtheria toxoid,14,Vaccine,llm,All Other Vaccines
ticarcillin,13,Penicillin,stem,Carbenicillin And Similar Types
mercaptopurine,13,Cytotoxic chemotherapy,llm,Antimetabolites
azacitidine,13,H2 receptor antagonist,stem,Antimetabolites
tegafur,13,Cytotoxic chemotherapy,llm,Antimetabolites
uracil,13,Cytotoxic chemotherapy,llm,Antimetabolites
phytomenadione,13,Vitamin K,lookup,Vitamin K Antagonists
proparacaine,13,Local anaesthetic,lookup,Opthalmological Local Anaesthetics
l-arginine,13,Amino acid / nutritional,lookup,Other Nutrients
amino acids,13,Amino acid / nutritional,lookup,Amino Acid Solutions Except Those Containing Fats
insulin lispro protamine,12,Insulin,llm,Human Insulins And Analogues
satranidazole,12,Nitroimidazole antimicrobial,lookup,Amebicides
adalimumab,12,Biologic DMARD (anti-TNF / interleukin),lookup,Anti Tnf Products
papaverine,12,Antispasmodic (anticholinergic/musculotropic),llm,Antispasmodic Analgesic Combinations
hyoscyamine,12,Antispasmodic (anticholinergic/musculotropic),llm,Plain Antispasmodics And Anticholinergics
pinaverium bromide,12,Antispasmodic (anticholinergic/musculotropic),llm,Plain Antispasmodics And Anticholinergics
ethylmorphine,12,Opioid analgesic,llm,Plain Antispasmodics And Anticholinergics
ramosetron,12,5-HT3 receptor antagonist,lookup,Serotonin Antagonist Antiemetics Antinauseants
placenta extracts,12,Herbal / traditional extract,llm,Other Sex Hormones And Similar Products
ketotifen,12,Mast cell stabiliser,lookup,Ocular Anti Allergics Decongestants Antiseptics
chlorocresol,12,Antiseptic / disinfectant,llm,Otological Anti Infectives Corticosteroid Combinations
isoflurane,12,General anaesthetic,llm,Anaesthetics General Inhalation
valethamate,12,Antispasmodic (anticholinergic/musculotropic),llm,Muscle Relaxants Centrally Acting
methocarbamol,12,Skeletal muscle relaxant,llm,Muscle Relaxants Centrally Acting
succinyl choline chloride,12,Neuromuscular blocking agent,llm,Muscle Relaxants Centrally Acting
oseltamivir phosphate,11,Antiviral (anti-influenza),llm,Anti Flu Drugs
hemocoagulase,11,Haemostatic (topical/systemic),llm,Systemic Heamostatics
pamabrom,11,"Diuretic (mild, OTC)",llm,Antispasmodic Analgesic Combinations
lafutidine,11,H2 receptor antagonist,stem,Anti Ulcerants H2 Antagonists
tegaserod,11,5-HT4 receptor agonist (prokinetic),llm,Gastro Intestinal Sensorimotor Modulators
l-methyl folate,11,Vitamin B9 (folate),llm,B Complex
sodium feredetate,11,Iron supplement,llm,Haematinics Iron And All Combinations
centchroman,11,SERM / anti-osteoporotic,llm,Selective Oestrogen Receptor Modulators Serms
protamine sulfate,11,Heparin antagonist,llm,Antidotes
diatrizoic acid,11,Radiographic contrast medium,llm,Radiodiagnostic Agents
tannic acid,11,Astringent,llm,Other Stomatologicals
insulin aspart protamine,10,Insulin,llm,Human Insulins And Analogues
pidotimod,10,Immunostimulant,llm,All Other Anti Infectives
valganciclovir,10,Antiviral (nucleoside analogue),lookup,Antivirals Excluding Hiv Products
cabazitaxel,10,Cytotoxic chemotherapy,llm,Vinca Alkaloids And Other Plant Products
aprotinin,10,Antifibrinolytic (proteinase inhibitor),llm,Proteinase Inhibitors
