active_ingredient,drug_class,confidence,method,rationale
diphtheria immune globulin,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
haemophilus influenzae type b capsular polysaccharide,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
measles vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
pneumococcal 13 valent conjugate vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
human papillomavirus quadrivalent (types 6,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
and 18) vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
meningococcal vaccine (group a,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
w-135),Vaccine,0.9,llm,pharmacology knowledge: Vaccine
vi capsular polysaccharide of salmonella typhi,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
varicella vaccine attenuated,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
bacillus calmette-guerin strain,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
human papillomavirus bivalent vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
polio vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
pyridoxal-5-phasphate,Vitamin B6,0.9,llm,pharmacology knowledge: Vitamin B6
pantothenic acid,Vitamin B5 (pantothenic acid),0.9,llm,pharmacology knowledge: Vitamin B5 (pantothenic acid)
l-leucine,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
l-isoleucine,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
cinacalcet,Calcimimetic,0.9,llm,pharmacology knowledge: Calcimimetic
sodium acid phosphate,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
dehydroemetine,Amoebicide,0.9,llm,pharmacology knowledge: Amoebicide
lactic acid,Emollient / keratolytic,0.9,llm,pharmacology knowledge: Emollient / keratolytic
urea,Emollient / keratolytic,0.9,llm,pharmacology knowledge: Emollient / keratolytic
imiquimod,Immune response modifier (topical),0.9,llm,pharmacology knowledge: Immune response modifier (topical)
testosterone propionate,Androgen,0.9,llm,pharmacology knowledge: Androgen
cyproterone,Antineoplastic - hormonal,0.9,llm,pharmacology knowledge: Antineoplastic - hormonal
glucagon,Antihypoglycaemic hormone,0.9,llm,pharmacology knowledge: Antihypoglycaemic hormone
goserelin acetate,Antineoplastic - hormonal,0.9,llm,pharmacology knowledge: Antineoplastic - hormonal
iopamidol,Radiographic contrast medium,0.9,llm,pharmacology knowledge: Radiographic contrast medium
stannous fluoride,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
cetalkonium chloride,Antiseptic / disinfectant,0.9,llm,pharmacology knowledge: Antiseptic / disinfectant
human rabies immunoglobulin,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
mumps virus vaccine,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
human gamma globulin,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
sodium fluoride,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
fosfestrol,Antineoplastic - hormonal,0.9,llm,pharmacology knowledge: Antineoplastic - hormonal
sargramostim,Colony-stimulating factor,0.9,llm,pharmacology knowledge: Colony-stimulating factor
plerixafor,Colony-stimulating factor,0.9,llm,pharmacology knowledge: Colony-stimulating factor
low dextrans,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
adapting electrolyte solutions,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
glycine,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
invert sugar,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
xylitol,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
sorbitol solution,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
eltrombopag,Thrombopoietin receptor agonist,0.9,llm,pharmacology knowledge: Thrombopoietin receptor agonist
menadione sodium bisulfite,Vitamin K,0.9,llm,pharmacology knowledge: Vitamin K
saroglitazar,Dual PPAR agonist,0.9,llm,pharmacology knowledge: Dual PPAR agonist
polycarbophil,Bulk-forming laxative,0.9,llm,pharmacology knowledge: Bulk-forming laxative
lubiprostone,Chloride channel activator (laxative),0.9,llm,pharmacology knowledge: Chloride channel activator (laxative)
atosiban,Tocolytic,0.9,llm,pharmacology knowledge: Tocolytic
corticotropin,ACTH / corticotropin,0.9,llm,pharmacology knowledge: ACTH / corticotropin
ganirelix,GnRH antagonist,0.9,llm,pharmacology knowledge: GnRH antagonist
l-glutamate,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
flumazenil,Benzodiazepine antagonist,0.9,llm,pharmacology knowledge: Benzodiazepine antagonist
fructo oligosaccharide,Prebiotic,0.9,llm,pharmacology knowledge: Prebiotic
poractant alfa,Pulmonary surfactant,0.9,llm,pharmacology knowledge: Pulmonary surfactant
seratrodast,Thromboxane A2 antagonist,0.9,llm,pharmacology knowledge: Thromboxane A2 antagonist
tocoferol,Vitamin E,0.9,llm,pharmacology knowledge: Vitamin E
magnesium carbonate,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
human premix,Insulin,0.9,llm,pharmacology knowledge: Insulin
vitamin b3,Vitamin B3 (niacin),0.9,llm,pharmacology knowledge: Vitamin B3 (niacin)
deferoxamine,Iron chelator,0.9,llm,pharmacology knowledge: Iron chelator
saline,IV fluid / parenteral nutrition,0.9,llm,pharmacology knowledge: IV fluid / parenteral nutrition
liver extract,Herbal / traditional extract,0.9,llm,pharmacology knowledge: Herbal / traditional extract
liver fraction 2 derived from fresh liver 01,Herbal / traditional extract,0.9,llm,pharmacology knowledge: Herbal / traditional extract
fibrinogen,Clotting factor / haemostatic protein,0.9,llm,pharmacology knowledge: Clotting factor / haemostatic protein
thrombin,Clotting factor / haemostatic protein,0.9,llm,pharmacology knowledge: Clotting factor / haemostatic protein
romiplostim,Thrombopoietin receptor agonist,0.9,llm,pharmacology knowledge: Thrombopoietin receptor agonist
rutin,Bioflavonoid,0.9,llm,pharmacology knowledge: Bioflavonoid
vitamin d,Vitamin D analogue,0.9,llm,pharmacology knowledge: Vitamin D analogue
acipimox,Lipid-lowering (nicotinic acid derivative),0.9,llm,pharmacology knowledge: Lipid-lowering (nicotinic acid derivative)
becaplermin,Growth factor (topical/systemic),0.9,llm,pharmacology knowledge: Growth factor (topical/systemic)
camostat,Serine protease inhibitor,0.9,llm,pharmacology knowledge: Serine protease inhibitor
myo-inositol,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
strontium ranelate,Anti-osteoporotic (other),0.9,llm,pharmacology knowledge: Anti-osteoporotic (other)
propyl thiouracil,Antithyroid,0.9,llm,pharmacology knowledge: Antithyroid
l-histidine hydrochloride,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
pegaptanib,Anti-VEGF (ophthalmic),0.9,llm,pharmacology knowledge: Anti-VEGF (ophthalmic)
nartograstim,Colony-stimulating factor,0.9,llm,pharmacology knowledge: Colony-stimulating factor
meglumine diatrizoate,Radiographic contrast medium,0.9,llm,pharmacology knowledge: Radiographic contrast medium
sodium diatrizoate,Radiographic contrast medium,0.9,llm,pharmacology knowledge: Radiographic contrast medium
halothane,General anaesthetic,0.9,llm,pharmacology knowledge: General anaesthetic
sevoflurane,General anaesthetic,0.9,llm,pharmacology knowledge: General anaesthetic
colfosceril palmitate,Pulmonary surfactant,0.9,llm,pharmacology knowledge: Pulmonary surfactant
yellow fever virus (live,Vaccine,0.9,llm,pharmacology knowledge: Vaccine
attenuated),Vaccine,0.9,llm,pharmacology knowledge: Vaccine
tetanus immunoglobulin,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
snake venom antiserum,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
human antitetanus immunoglobulin,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
clostridium botulinum type a toxin-haemagglutinin complex,Immunoglobulin / antiserum,0.9,llm,pharmacology knowledge: Immunoglobulin / antiserum
thiomersal,Preservative / antimicrobial excipient,0.9,llm,pharmacology knowledge: Preservative / antimicrobial excipient
luvistin,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
chromium,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
copper,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
manganese,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
chromium chloride,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
copper sulphate,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
manganese sulphate,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
selenious acid,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
calcium pantothenate,Vitamin B5 (pantothenic acid),0.9,llm,pharmacology knowledge: Vitamin B5 (pantothenic acid)
