active_ingredient,drug_class,source
halofantrine,Antimalarial,seed:pharmacology-reference
haloperidol,Typical antipsychotic,seed:pharmacology-reference
human insulin,Insulin,seed:pharmacology-reference
hydralazine,Antihypertensive (direct vasodilator),seed:pharmacology-reference
hydrochlorothiazide,Thiazide / thiazide-like diuretic,seed:pharmacology-reference
hydrocortisone,Corticosteroid,seed:pharmacology-reference
hydrogen peroxide,Antiseptic / disinfectant,seed:pharmacology-reference
hydromorphone,Opioid analgesic,seed:pharmacology-reference
hydrotalcite,Antacid,seed:pharmacology-reference
hydroxocobalamin,Vitamin B12,seed:pharmacology-reference
hydroxychloroquine,Antimalarial,seed:pharmacology-reference
hydroxychloroquine (DMARD),Immunosuppressant / DMARD,seed:pharmacology-reference
hydroxyprogesterone,Progestogen,seed:pharmacology-reference
hydroxypropyl methylcellulose,Ocular lubricant,seed:pharmacology-reference
hydroxyzine,Antihistamine (1st generation),seed:pharmacology-reference
hyoscine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
hyoscine butylbromide,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
hypromellose,Ocular lubricant,seed:pharmacology-reference
ibandronate,Bisphosphonate,seed:pharmacology-reference
ibuprofen,NSAID,seed:pharmacology-reference
ilaprazole,Proton pump inhibitor,seed:pharmacology-reference
imidapril,ACE inhibitor,seed:pharmacology-reference
imipenem,Carbapenem,seed:pharmacology-reference
imipenem + cilastatin,Carbapenem,seed:pharmacology-reference
imipramine,Tricyclic antidepressant,seed:pharmacology-reference
indacaterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
indapamide,Thiazide / thiazide-like diuretic,seed:pharmacology-reference
indomethacin,NSAID,seed:pharmacology-reference
infliximab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
insulin,Insulin,seed:pharmacology-reference
insulin aspart,Insulin,seed:pharmacology-reference
insulin degludec,Insulin,seed:pharmacology-reference
insulin detemir,Insulin,seed:pharmacology-reference
insulin glargine,Insulin,seed:pharmacology-reference
insulin glulisine,Insulin,seed:pharmacology-reference
insulin isophane,Insulin,seed:pharmacology-reference
insulin lispro,Insulin,seed:pharmacology-reference
ipratropium,Antimuscarinic bronchodilator,seed:pharmacology-reference
irbesartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
iron hydroxide polymaltose,Iron supplement,seed:pharmacology-reference
iron polymaltose,Iron supplement,seed:pharmacology-reference
isabgol,Bulk laxative,seed:pharmacology-reference
isavuconazole,Azole antifungal,seed:pharmacology-reference
isoniazid,Antitubercular,seed:pharmacology-reference
isophane insulin,Insulin,seed:pharmacology-reference
isosorbide dinitrate,Nitrate vasodilator,seed:pharmacology-reference
isosorbide mononitrate,Nitrate vasodilator,seed:pharmacology-reference
isotretinoin,Topical retinoid,seed:pharmacology-reference
ispaghula,Bulk laxative,seed:pharmacology-reference
itopride,Prokinetic (dopamine D2 antagonist),seed:pharmacology-reference
itraconazole,Azole antifungal,seed:pharmacology-reference
ivabradine,Antiarrhythmic,seed:pharmacology-reference
ivermectin,Anthelmintic,seed:pharmacology-reference
josamycin,Macrolide,seed:pharmacology-reference
kanamycin,Aminoglycoside,seed:pharmacology-reference
ketoconazole,Azole antifungal,seed:pharmacology-reference
ketoprofen,NSAID,seed:pharmacology-reference
ketorolac,NSAID,seed:pharmacology-reference
ketotifen,Mast cell stabiliser,seed:pharmacology-reference
l-arginine,Amino acid / nutritional,seed:pharmacology-reference
l-carnitine,Antioxidant / micronutrient,seed:pharmacology-reference
l-glutamine,Amino acid / nutritional,seed:pharmacology-reference
l-methylfolate,Vitamin B9,seed:pharmacology-reference
l-ornithine,Amino acid / nutritional,seed:pharmacology-reference
l-ornithine l-aspartate,Hepatoprotective,seed:pharmacology-reference
l-thyroxine,Thyroid hormone,seed:pharmacology-reference
labetalol,Beta blocker,seed:pharmacology-reference
lacosamide,Antiepileptic,seed:pharmacology-reference
lactic acid (topical),Keratolytic,seed:pharmacology-reference
lactitol,Osmotic laxative,seed:pharmacology-reference
lactulose,Osmotic laxative,seed:pharmacology-reference
lamivudine,Antiretroviral,seed:pharmacology-reference
lamotrigine,Antiepileptic,seed:pharmacology-reference
lansoprazole,Proton pump inhibitor,seed:pharmacology-reference
lanthanum carbonate,Phosphate binder,seed:pharmacology-reference
latanoprost,Prostaglandin analogue (ophthalmic),seed:pharmacology-reference
ledipasvir,Antiviral (anti-hepatitis),seed:pharmacology-reference
leflunomide,Immunosuppressant / DMARD,seed:pharmacology-reference
lercanidipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
letrozole,Aromatase inhibitor,seed:pharmacology-reference
levamisole,Anthelmintic,seed:pharmacology-reference
levetiracetam,Antiepileptic,seed:pharmacology-reference
levo-folinate,Haematinic (other),seed:pharmacology-reference
levocetirizine,Antihistamine (2nd generation),seed:pharmacology-reference
levocetirizine dihydrochloride,Antihistamine (2nd generation),seed:pharmacology-reference
levodopa,Dopaminergic anti-parkinson,seed:pharmacology-reference
levomefolic acid,Vitamin B9,seed:pharmacology-reference
levomilnacipran,SNRI,seed:pharmacology-reference
levonorgestrel,Progestogen,seed:pharmacology-reference
levosalbutamol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
levosulpiride,Prokinetic (dopamine D2 antagonist),seed:pharmacology-reference
levosulpiride (antipsychotic use),Typical antipsychotic,seed:pharmacology-reference
levothyroxine,Thyroid hormone,seed:pharmacology-reference
lidocaine,Local anaesthetic,seed:pharmacology-reference
lignocaine,Local anaesthetic,seed:pharmacology-reference
lignocaine + hydrocortisone,Local haemorrhoid preparation,seed:pharmacology-reference
linagliptin,DPP-4 inhibitor,seed:pharmacology-reference
lincomycin,Lincosamide,seed:pharmacology-reference
lindane,Antiscabietic / pediculicide,seed:pharmacology-reference
linezolid,Oxazolidinone (weak MAO inhibitor),seed:pharmacology-reference
liothyronine,Thyroid hormone,seed:pharmacology-reference
lipase,Digestive enzyme (pancreatic),seed:pharmacology-reference
liquid paraffin,Emollient / barrier,seed:pharmacology-reference
liraglutide,GLP-1 receptor agonist,seed:pharmacology-reference
lisinopril,ACE inhibitor,seed:pharmacology-reference
lithium,Mood stabiliser,seed:pharmacology-reference
lithium carbonate,Mood stabiliser,seed:pharmacology-reference
lola,Hepatoprotective,seed:pharmacology-reference
loperamide,Antimotility agent,seed:pharmacology-reference
lopinavir,Antiretroviral,seed:pharmacology-reference
loratadine,Antihistamine (2nd generation),seed:pharmacology-reference
lorazepam,Benzodiazepine,seed:pharmacology-reference
lornoxicam,NSAID,seed:pharmacology-reference
losartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
loteprednol,Corticosteroid,seed:pharmacology-reference
loxapine,Typical antipsychotic,seed:pharmacology-reference
luliconazole,Azole antifungal,seed:pharmacology-reference
lumefantrine,Antimalarial,seed:pharmacology-reference
lurasidone,Atypical antipsychotic,seed:pharmacology-reference
lycopene,Antioxidant / micronutrient,seed:pharmacology-reference
macitentan,Pulmonary hypertension agent,seed:pharmacology-reference
macrogol,Osmotic laxative,seed:pharmacology-reference
magaldrate,Antacid,seed:pharmacology-reference
magnesium hydroxide,Antacid,seed:pharmacology-reference
magnesium sulphate,Electrolyte / rehydration,seed:pharmacology-reference
mebendazole,Anthelmintic,seed:pharmacology-reference
mebeverine,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
meclizine,Antihistamine (1st generation),seed:pharmacology-reference
meclizine (antiemetic),Antiemetic (antihistamine),seed:pharmacology-reference
mecobalamin,Vitamin B12,seed:pharmacology-reference
medroxyprogesterone,Progestogen,seed:pharmacology-reference
mefenamic acid,NSAID,seed:pharmacology-reference
mefloquine,Antimalarial,seed:pharmacology-reference
meloxicam,NSAID,seed:pharmacology-reference
memantine,NMDA receptor antagonist,seed:pharmacology-reference
menadione,Vitamin K,seed:pharmacology-reference
menaquinone,Vitamin K,seed:pharmacology-reference
meropenem,Carbapenem,seed:pharmacology-reference
mesalamine,Aminosalicylate,seed:pharmacology-reference
mesalazine,Aminosalicylate,seed:pharmacology-reference
metaxalone,Skeletal muscle relaxant,seed:pharmacology-reference
metformin,Biguanide (antidiabetic),seed:pharmacology-reference
methadone,Opioid analgesic,seed:pharmacology-reference
methandienone,Anabolic steroid,seed:pharmacology-reference
methimazole,Antithyroid,seed:pharmacology-reference
methotrexate,Immunosuppressant / DMARD,seed:pharmacology-reference
methylcobalamin,Vitamin B12,seed:pharmacology-reference
methylcobalamin (haematinic),Haematinic (other),seed:pharmacology-reference
methyldopa,Antihypertensive (central alpha-2 agonist),seed:pharmacology-reference
methylergometrine,Ergot alkaloid,seed:pharmacology-reference
methylergometrine maleate,Ergot alkaloid,seed:pharmacology-reference
methylphenidate,Stimulant / wakefulness agent,seed:pharmacology-reference
methylprednisolone,Corticosteroid,seed:pharmacology-reference
metoclopramide,Dopamine antagonist antiemetic,seed:pharmacology-reference
metolazone,Thiazide / thiazide-like diuretic,seed:pharmacology-reference
metoprolol,Beta blocker,seed:pharmacology-reference
metronidazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
mexiletine,Antiarrhythmic,seed:pharmacology-reference
micafungin,Echinocandin antifungal,seed:pharmacology-reference
miconazole,Azole antifungal,seed:pharmacology-reference
midazolam,Benzodiazepine,seed:pharmacology-reference
miglitol,Alpha-glucosidase inhibitor,seed:pharmacology-reference
milk of magnesia,Antacid,seed:pharmacology-reference
milk of magnesia (laxative),Osmotic laxative,seed:pharmacology-reference
milnacipran,SNRI,seed:pharmacology-reference
miltefosine,Antiprotozoal (other),seed:pharmacology-reference
minocycline,Tetracycline,seed:pharmacology-reference
minoxidil,Antihypertensive (direct vasodilator),seed:pharmacology-reference
mirabegron,Overactive bladder agent,seed:pharmacology-reference
mirtazapine,Atypical antidepressant,seed:pharmacology-reference
misoprostol,Prostaglandin analogue (GI),seed:pharmacology-reference
modafinil,Stimulant / wakefulness agent,seed:pharmacology-reference
mometasone,Corticosteroid,seed:pharmacology-reference
mometasone furoate (nasal),Decongestant / antiallergic (ocular/nasal steroid),seed:pharmacology-reference
montelukast,Leukotriene receptor antagonist,seed:pharmacology-reference
montelukast (respiratory),Respiratory anti-inflammatory (non-steroidal),seed:pharmacology-reference
morphine,Opioid analgesic,seed:pharmacology-reference
moxonidine,Antihypertensive (central alpha-2 agonist),seed:pharmacology-reference
mupirocin,Topical antibacterial (acne/skin),seed:pharmacology-reference
mycophenolate mofetil,Immunosuppressant / DMARD,seed:pharmacology-reference
mycophenolate sodium,Immunosuppressant / DMARD,seed:pharmacology-reference
mycophenolic acid,Immunosuppressant / DMARD,seed:pharmacology-reference
n-acetylcysteine,Mucolytic / expectorant,seed:pharmacology-reference
n-acetylcysteine (antioxidant),Antioxidant / micronutrient,seed:pharmacology-reference
nabumetone,NSAID,seed:pharmacology-reference
nadifloxacin,Topical antibacterial (acne/skin),seed:pharmacology-reference
naftidrofuryl,Vasodilator (peripheral),seed:pharmacology-reference
naftifine,Allylamine antifungal,seed:pharmacology-reference
nalbuphine,Opioid analgesic,seed:pharmacology-reference
nalmefene,Opioid antagonist,seed:pharmacology-reference
naloxone,Opioid antagonist,seed:pharmacology-reference
naltrexone,Opioid antagonist,seed:pharmacology-reference
nandrolone,Anabolic steroid,seed:pharmacology-reference
nandrolone decanoate,Anabolic steroid,seed:pharmacology-reference
naphazoline,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
naproxen,NSAID,seed:pharmacology-reference
naratriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
natamycin,Polyene antifungal,seed:pharmacology-reference
nateglinide,Meglitinide,seed:pharmacology-reference
nebivolol,Beta blocker,seed:pharmacology-reference
nedocromil,Mast cell stabiliser,seed:pharmacology-reference
neomycin,Aminoglycoside,seed:pharmacology-reference
netilmicin,Aminoglycoside,seed:pharmacology-reference
netupitant,NK1 receptor antagonist,seed:pharmacology-reference
nevirapine,Antiretroviral,seed:pharmacology-reference
niclosamide,Anthelmintic,seed:pharmacology-reference
nicorandil,Nitrate vasodilator,seed:pharmacology-reference
nicotinic acid,Other lipid-lowering,seed:pharmacology-reference
nicoumalone,Anticoagulant (vitamin K antagonist),seed:pharmacology-reference
nifedipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
nimesulide,NSAID,seed:pharmacology-reference
nimodipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
nimorazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
nitazoxanide,Antiprotozoal (other),seed:pharmacology-reference
nitrazepam,Benzodiazepine,seed:pharmacology-reference
nitrendipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
nitrofurantoin,Nitrofuran antibacterial,seed:pharmacology-reference
nitroglycerin,Nitrate vasodilator,seed:pharmacology-reference
nizatidine,H2 receptor antagonist,seed:pharmacology-reference
nomegestrol,Progestogen,seed:pharmacology-reference
norethisterone,Progestogen,seed:pharmacology-reference
norgestrel,Progestogen,seed:pharmacology-reference
nortriptyline,Tricyclic antidepressant,seed:pharmacology-reference
noscapine,Antitussive,seed:pharmacology-reference
nystatin,Polyene antifungal,seed:pharmacology-reference
obeticholic acid,Bile acid,seed:pharmacology-reference
olanzapine,Atypical antipsychotic,seed:pharmacology-reference
olmesartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
olodaterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
olopatadine,Antihistamine H1 (ocular),seed:pharmacology-reference
olsalazine,Aminosalicylate,seed:pharmacology-reference
omeprazole,Proton pump inhibitor,seed:pharmacology-reference
ondansetron,5-HT3 receptor antagonist,seed:pharmacology-reference
oral rehydration salts,Electrolyte / rehydration,seed:pharmacology-reference
ormeloxifene,Selective estrogen receptor modulator,seed:pharmacology-reference
ornidazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
ors,Electrolyte / rehydration,seed:pharmacology-reference
oseltamivir,Antiviral (anti-influenza),seed:pharmacology-reference
otilonium,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
oxandrolone,Anabolic steroid,seed:pharmacology-reference
oxazepam,Benzodiazepine,seed:pharmacology-reference
oxcarbazepine,Antiepileptic,seed:pharmacology-reference
oxetacaine,Mucosal protectant,seed:pharmacology-reference
oxetacaine (local anaesthetic),Local anaesthetic,seed:pharmacology-reference
oxethazaine,Mucosal protectant,seed:pharmacology-reference
oxiconazole,Azole antifungal,seed:pharmacology-reference
oxybutynin,Overactive bladder agent,seed:pharmacology-reference
oxycodone,Opioid analgesic,seed:pharmacology-reference
oxymetazoline,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
ozenoxacin,Topical antibacterial (acne/skin),seed:pharmacology-reference
paliperidone,Atypical antipsychotic,seed:pharmacology-reference
palonosetron,5-HT3 receptor antagonist,seed:pharmacology-reference
pamidronate,Bisphosphonate,seed:pharmacology-reference
pancreatin,Digestive enzyme (pancreatic),seed:pharmacology-reference
pancrelipase,Digestive enzyme (pancreatic),seed:pharmacology-reference
pantoprazole,Proton pump inhibitor,seed:pharmacology-reference
papain,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
papain (digestive),Digestive enzyme (pancreatic),seed:pharmacology-reference
para-aminosalicylic acid,Antitubercular,seed:pharmacology-reference
paracetamol,Analgesic / antipyretic (aniline),seed:pharmacology-reference
paracetamol/acetaminophen,Analgesic / antipyretic (aniline),seed:pharmacology-reference
parecoxib,NSAID (COX-2 selective),seed:pharmacology-reference
paromomycin,Aminoglycoside,seed:pharmacology-reference
paroxetine,SSRI,seed:pharmacology-reference
patiromer,Potassium binder,seed:pharmacology-reference
penfluridol,Typical antipsychotic,seed:pharmacology-reference
penicillamine,Antidote / chelator,seed:pharmacology-reference
penicillin g,Penicillin,seed:pharmacology-reference
penicillin v,Penicillin,seed:pharmacology-reference
pentazocine,Opioid analgesic,seed:pharmacology-reference
pentoxifylline,Vasodilator (peripheral),seed:pharmacology-reference
pepsin,Digestive enzyme (pancreatic),seed:pharmacology-reference
peptizyme,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
perampanel,Antiepileptic,seed:pharmacology-reference
perindopril,ACE inhibitor,seed:pharmacology-reference
permethrin,Antiscabietic / pediculicide,seed:pharmacology-reference
pethidine,Opioid analgesic,seed:pharmacology-reference
pheniramine,Antihistamine (1st generation),seed:pharmacology-reference
pheniramine maleate,Antihistamine (1st generation),seed:pharmacology-reference
phenobarbital,Barbiturate,seed:pharmacology-reference
phenobarbitone,Barbiturate,seed:pharmacology-reference
phenprocoumon,Anticoagulant (vitamin K antagonist),seed:pharmacology-reference
phenylephrine,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
phenytoin,Antiepileptic,seed:pharmacology-reference
pholcodine,Antitussive,seed:pharmacology-reference
phylloquinone,Vitamin K,seed:pharmacology-reference
phytomenadione,Vitamin K,seed:pharmacology-reference
pimecrolimus,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
pimozide,Typical antipsychotic,seed:pharmacology-reference
pinaverium,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
pioglitazone,Thiazolidinedione,seed:pharmacology-reference
piperacillin,Penicillin,seed:pharmacology-reference
piperaquine,Antimalarial,seed:pharmacology-reference
pipotiazine,Typical antipsychotic,seed:pharmacology-reference
piracetam,Nootropic / neurotrophic,seed:pharmacology-reference
piroxicam,NSAID,seed:pharmacology-reference
pitavastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
podophyllotoxin,Keratolytic,seed:pharmacology-reference
polyethylene glycol,Osmotic laxative,seed:pharmacology-reference
polyethylene glycol (ocular),Ocular lubricant,seed:pharmacology-reference
polymyxin b,Polymyxin,seed:pharmacology-reference
polyvinyl alcohol,Ocular lubricant,seed:pharmacology-reference
posaconazole,Azole antifungal,seed:pharmacology-reference
potassium chloride,Electrolyte / rehydration,seed:pharmacology-reference
potassium citrate,Electrolyte / rehydration,seed:pharmacology-reference
potassium magnesium citrate,Electrolyte / rehydration,seed:pharmacology-reference
potassium permanganate,Antiseptic / disinfectant,seed:pharmacology-reference
povidone iodine,Antiseptic / disinfectant,seed:pharmacology-reference
pramipexole,Dopaminergic anti-parkinson,seed:pharmacology-reference
prasugrel,Antiplatelet (P2Y12 inhibitor),seed:pharmacology-reference
pravastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
praziquantel,Anthelmintic,seed:pharmacology-reference
prazosin,Alpha-1 blocker,seed:pharmacology-reference
prednisolone,Corticosteroid,seed:pharmacology-reference
prednisone,Corticosteroid,seed:pharmacology-reference
pregabalin,Gabapentinoid,seed:pharmacology-reference
prilocaine,Local anaesthetic,seed:pharmacology-reference
primaquine,Antimalarial,seed:pharmacology-reference
probenecid,Uricosuric,seed:pharmacology-reference
prochlorperapine,Dopamine antagonist antiemetic,seed:pharmacology-reference
prochlorperazine,Dopamine antagonist antiemetic,seed:pharmacology-reference
procyclidine,Anticholinergic (anti-parkinson),seed:pharmacology-reference
progesterone,Progestogen,seed:pharmacology-reference
proguanil,Antimalarial,seed:pharmacology-reference
promethazine,Antihistamine (1st generation),seed:pharmacology-reference
promethazine (antiemetic),Antihistamine / antiemetic (phenothiazine),seed:pharmacology-reference
propafenone,Antiarrhythmic,seed:pharmacology-reference
propantheline,Antispasmodic (anticholinergic/musculotropic),seed:pharmacology-reference
proparacaine,Local anaesthetic,seed:pharmacology-reference
propranolol,Beta blocker,seed:pharmacology-reference
propylthiouracil,Antithyroid,seed:pharmacology-reference
pseudoephedrine,Nasal / systemic decongestant (sympathomimetic),seed:pharmacology-reference
psyllium,Bulk laxative,seed:pharmacology-reference
pyrantel pamoate,Anthelmintic,seed:pharmacology-reference
pyrazinamide,Antitubercular,seed:pharmacology-reference
pyridoxine,Vitamin B6,seed:pharmacology-reference
pyrimethamine,Antimalarial,seed:pharmacology-reference
quetiapine,Atypical antipsychotic,seed:pharmacology-reference
quinapril,ACE inhibitor,seed:pharmacology-reference
quinine,Antimalarial,seed:pharmacology-reference
quinine (cramps),Skeletal muscle relaxant,seed:pharmacology-reference
quiniodochlor,Amphenicol,seed:pharmacology-reference
quiniodochlor (antidiarrhoeal),Antidiarrhoeal (intestinal antiseptic),seed:pharmacology-reference
rabeprazole,Proton pump inhibitor,seed:pharmacology-reference
racecadotril,Antimotility agent,seed:pharmacology-reference
raloxifene,Selective estrogen receptor modulator,seed:pharmacology-reference
raltegravir,Antiretroviral,seed:pharmacology-reference
ramipril,ACE inhibitor,seed:pharmacology-reference
ramosetron,5-HT3 receptor antagonist,seed:pharmacology-reference
ranitidine,H2 receptor antagonist,seed:pharmacology-reference
rasagiline,Dopaminergic anti-parkinson,seed:pharmacology-reference
rebamipide,Mucosal protectant,seed:pharmacology-reference
regular insulin,Insulin,seed:pharmacology-reference
remogliflozin,SGLT2 inhibitor,seed:pharmacology-reference
remogliflozin etabonate,SGLT2 inhibitor,seed:pharmacology-reference
repaglinide,Meglitinide,seed:pharmacology-reference
retapamulin,Topical antibacterial (acne/skin),seed:pharmacology-reference
reteplase,Fibrinolytic,seed:pharmacology-reference
retinol,Vitamin A,seed:pharmacology-reference
retinyl palmitate,Vitamin A,seed:pharmacology-reference
ribavirin,Antiviral (nucleoside analogue),seed:pharmacology-reference
rifabutin,Rifamycin,seed:pharmacology-reference
rifampicin,Rifamycin,seed:pharmacology-reference
rifampin,Rifamycin,seed:pharmacology-reference
rifapentine,Rifamycin,seed:pharmacology-reference
rifaximin,Rifamycin,seed:pharmacology-reference
riociguat,Pulmonary hypertension agent,seed:pharmacology-reference
risedronate,Bisphosphonate,seed:pharmacology-reference
risperidone,Atypical antipsychotic,seed:pharmacology-reference
ritonavir,Antiretroviral,seed:pharmacology-reference
rituximab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
rivaroxaban,Direct oral anticoagulant,seed:pharmacology-reference
rivastigmine,Cholinesterase inhibitor,seed:pharmacology-reference
rizatriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
ropinirole,Dopaminergic anti-parkinson,seed:pharmacology-reference
ropivacaine,Local anaesthetic,seed:pharmacology-reference
rosiglitazone,Thiazolidinedione,seed:pharmacology-reference
rosuvastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
rotigotine,Dopaminergic anti-parkinson,seed:pharmacology-reference
roxatidine,H2 receptor antagonist,seed:pharmacology-reference
roxithromycin,Macrolide,seed:pharmacology-reference
rupatadine,Antihistamine (2nd generation),seed:pharmacology-reference
rutoside,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
s-adenosylmethionine,Hepatoprotective,seed:pharmacology-reference
s-amlodipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
safinamide,Dopaminergic anti-parkinson,seed:pharmacology-reference
salbutamol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
salicylic acid,Keratolytic,seed:pharmacology-reference
salmeterol,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
satranidazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
saxagliptin,DPP-4 inhibitor,seed:pharmacology-reference
secnidazole,Nitroimidazole antimicrobial,seed:pharmacology-reference
secukinumab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
selegiline,Dopaminergic anti-parkinson,seed:pharmacology-reference
selenium,Antioxidant / micronutrient,seed:pharmacology-reference
semaglutide,GLP-1 receptor agonist,seed:pharmacology-reference
senna,Stimulant laxative,seed:pharmacology-reference
sennosides,Stimulant laxative,seed:pharmacology-reference
serratepeptidase,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
serratiopeptidase,Proteolytic / anti-inflammatory enzyme,seed:pharmacology-reference
sertaconazole,Azole antifungal,seed:pharmacology-reference
sertraline,SSRI,seed:pharmacology-reference
sevelamer,Phosphate binder,seed:pharmacology-reference
sildenafil,PDE5 inhibitor,seed:pharmacology-reference
silodosin,Alpha-1 blocker (uroselective),seed:pharmacology-reference
silver sulfadiazine,Antiseptic / disinfectant,seed:pharmacology-reference
silybin,Hepatoprotective,seed:pharmacology-reference
silymarin,Hepatoprotective,seed:pharmacology-reference
simethicone,Antiflatulent,seed:pharmacology-reference
simeticone,Antiflatulent,seed:pharmacology-reference
simvastatin,Statin (HMG-CoA reductase inhibitor),seed:pharmacology-reference
sirolimus,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
sitagliptin,DPP-4 inhibitor,seed:pharmacology-reference
sodium ascorbate,Vitamin C,seed:pharmacology-reference
sodium bicarbonate,Antacid,seed:pharmacology-reference
sodium bicarbonate (systemic),Electrolyte / rehydration,seed:pharmacology-reference
sodium chloride,Electrolyte / rehydration,seed:pharmacology-reference
sodium citrate,Electrolyte / rehydration,seed:pharmacology-reference
sodium cromoglycate,Mast cell stabiliser,seed:pharmacology-reference
sodium fusidate,Topical antibacterial (acne/skin),seed:pharmacology-reference
sodium hyaluronate,Ocular lubricant,seed:pharmacology-reference
sodium picosulfate,Stimulant laxative,seed:pharmacology-reference
sodium polystyrene sulphonate,Potassium binder,seed:pharmacology-reference
sodium stibogluconate,Antiprotozoal (other),seed:pharmacology-reference
sodium valproate,Antiepileptic,seed:pharmacology-reference
sofosbuvir,Antiviral (anti-hepatitis),seed:pharmacology-reference
solifenacin,Overactive bladder agent,seed:pharmacology-reference
sorbitol,Osmotic laxative,seed:pharmacology-reference
sotalol,Antiarrhythmic,seed:pharmacology-reference
spiramycin,Macrolide,seed:pharmacology-reference
spironolactone,Potassium-sparing diuretic / aldosterone antagonist,seed:pharmacology-reference
stanozolol,Anabolic steroid,seed:pharmacology-reference
sterculia,Bulk laxative,seed:pharmacology-reference
streptokinase,Fibrinolytic,seed:pharmacology-reference
streptomycin,Aminoglycoside,seed:pharmacology-reference
sucralfate,Mucosal protectant,seed:pharmacology-reference
sulbactam,Beta-lactamase inhibitor,seed:pharmacology-reference
sulfadiazine,Sulfonamide antibacterial,seed:pharmacology-reference
sulfadoxine,Antimalarial,seed:pharmacology-reference
sulfamethoxazole,Sulfonamide antibacterial,seed:pharmacology-reference
sulfasalazine,Aminosalicylate,seed:pharmacology-reference
sulfasalazine (DMARD),Immunosuppressant / DMARD,seed:pharmacology-reference
sulphamethoxazole,Sulfonamide antibacterial,seed:pharmacology-reference
sulpiride,Typical antipsychotic,seed:pharmacology-reference
sultiame,Antiepileptic,seed:pharmacology-reference
sumatriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
tacrolimus,Immunosuppressant (calcineurin / mTOR),seed:pharmacology-reference
tadalafil,PDE5 inhibitor,seed:pharmacology-reference
tafluprost,Prostaglandin analogue (ophthalmic),seed:pharmacology-reference
tamoxifen,Selective estrogen receptor modulator,seed:pharmacology-reference
tamsulosin,Alpha-1 blocker (uroselective),seed:pharmacology-reference
tapentadol,Opioid analgesic,seed:pharmacology-reference
taurine,Amino acid / nutritional,seed:pharmacology-reference
tazarotene,Topical retinoid,seed:pharmacology-reference
tazobactam,Beta-lactamase inhibitor,seed:pharmacology-reference
tazobactum,Beta-lactamase inhibitor,seed:pharmacology-reference
tedizolid,Oxazolidinone (weak MAO inhibitor),seed:pharmacology-reference
teicoplanin,Glycopeptide,seed:pharmacology-reference
telmisartan,Angiotensin receptor blocker (ARB),seed:pharmacology-reference
temazepam,Benzodiazepine,seed:pharmacology-reference
tenecteplase,Fibrinolytic,seed:pharmacology-reference
teneligliptin,DPP-4 inhibitor,seed:pharmacology-reference
tenofovir,Antiviral (anti-hepatitis),seed:pharmacology-reference
tenofovir alafenamide,Antiretroviral,seed:pharmacology-reference
tenofovir disoproxil fumarate,Antiretroviral,seed:pharmacology-reference
terazosin,Alpha-1 blocker,seed:pharmacology-reference
terbinafine,Allylamine antifungal,seed:pharmacology-reference
terbutaline,Beta-2 agonist (bronchodilator),seed:pharmacology-reference
