ingredient_clean,occurrences,example_food_id,example_food_name
garic,1,PF-326,Too Yumm! Karare Chilli Achari Flavour
geling agent,1,PF-326,Too Yumm! Karare Chilli Achari Flavour
conciments,1,PF-327,Too Yumm! Noodles Masala | Spicy No Palm Oil Crisps
ins55,1,PF-327,Too Yumm! Noodles Masala | Spicy No Palm Oil Crisps
lemon juice powder,1,PF-329,Too Yumm! Aloo Chaat Potato Stix | Munching Snack | On-the-Go Munchies
tepary bean flour,1,PF-330,Too Yumm! Aloo Bhujia | No Palm Oil | 35% Less Saturated Fat
split green gram,1,PF-332,Too Yumm! Moong Dal | No Palm Oil | 35% Less Saturated Fat
split pulse bengal gram,1,PF-334,Haldiram's Mixture
tapary beans,1,PF-334,Haldiram's Mixture
moth dal,1,PF-334,Haldiram's Mixture
split pulse urd,1,PF-335,Haldirams Soya Sticks
urd dal,1,PF-335,Haldirams Soya Sticks
nutmeg cinnamon,1,PF-335,Haldirams Soya Sticks
fennel seed,1,PF-335,Haldirams Soya Sticks
cotton seed corn,1,PF-337,Haldiram's Khatta Meetha
gram pulse,1,PF-337,Haldiram's Khatta Meetha
lentil,1,PF-337,Haldiram's Khatta Meetha
bishops weed,1,PF-337,Haldiram's Khatta Meetha
fif,1,PF-337,Haldiram's Khatta Meetha
haldiram s moong dal,1,PF-338,Haldiram's Moong Dal
derived,1,PF-339,Haldiram's Cornflakes Mixture
mace powder,1,PF-339,Haldiram's Cornflakes Mixture
edible oil,1,PF-346,Granamma Madras Mixture
fried curry leaves,1,PF-346,Granamma Madras Mixture
dried curry leaves,1,PF-349,Granamma Kara Boondi
besan powder,1,PF-350,Dev Kadalamavu Mixture
chilly powder,1,PF-350,Dev Kadalamavu Mixture
rice powder,1,PF-351,Dev Snacks Ghee Murukku
urid dal,1,PF-351,Dev Snacks Ghee Murukku
nature identical flavouring substance - vanillin,1,PF-357,Ferrero Rocher
hydrogenated edible vegetable fat,1,PF-359,Amul Chocominis Chocolate
added vanilla cake flavour,1,PF-359,Amul Chocominis Chocolate
edible vegetable fats less than,1,PF-360,Galaxy Cookie Crumble CHOCOLATE BAR
fat reduced cocoa powder,1,PF-360,Galaxy Cookie Crumble CHOCOLATE BAR
coconuts,1,PF-369,Eat Anytime Coffee Cinnamon Date Laddoo
artificial flavouring substance-vanillin,1,PF-374,Hershey's Creamy Milk CHOCOLATE BAR
artificial vanilla cake flavouring,1,PF-376,Cadbury Dairy Milk Bites Hazelnut Chocolate Pack
cocoa content,1,PF-378,"Galaxy Fusions Silky Smooth Dark CHOCOLATE BAR, Made with 70% Cocoa"
total cocoa content,1,PF-378,"Galaxy Fusions Silky Smooth Dark CHOCOLATE BAR, Made with 70% Cocoa"
extruded rice,1,PF-383,Kinder Creamy Milky And Cocoa With Extruded Rice
white chocolate,1,PF-384,Hershey's Kisses Cookies 'N' Cream Chocolate
gojiberry,1,PF-385,Hershey's Exotic Raspberry & Goji Dark Chocolate
blackberry fruit powder,1,PF-388,Hershey's Exotic Dark Chocolate Californian Almonds - With Blackberry Crunchy Dark Chocolate
edible vegetable fat less than,1,PF-391,Bounty Miniatures Coconut Filled Chocolate Pack
ectant,1,PF-391,Bounty Miniatures Coconut Filled Chocolate Pack
edible vegetable fat <,1,PF-393,"Snickers Filled with Brownie, Peanuts & Caramel CHOCOLATE BAR"
palm superolein,1,PF-394,Cadbury Dairy Milk Lickables Chocolate with Oreo Chunks
center filling,1,PF-395,Hershey's Kisses Choco Truffle
rapeseed,1,PF-395,Hershey's Kisses Choco Truffle
apple orange pieces,1,PF-397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR
apple puree concentrate,1,PF-397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR
liqud glucose,1,PF-397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR
plum cake,1,PF-397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR
sorbitan tristearate,1,PF-399,"Fabelle Hazelnut Handcrafted Chocolate Truffles Inspired by Classic Desserts, Assorted Luxury Chocolates Gift Pack"
dried sweetened cranberries,1,PF-401,Cadbury Bournville Cranberry 50% Dark CHOCOLATE BAR
nature identical flavoring substance,1,PF-402,Cadbury Bournville Fruit & Nut 50% Dark CHOCOLATE BAR
hydrogenated egetable oil,1,PF-404,Snickers Almond Filled CHOCOLATE BAR
nature identical flavoring substances,1,PF-406,Cadbury Bournville Rich Cocoa 50% Dark CHOCOLATE BAR
acai,1,PF-409,Hershey's Exotic Dark Blueberry And Acai Chocolate Share Bag
belgian,1,PF-410,Nova Nova Waffle Chocolates- Belgian Chocolate
white chocolate drizzle,1,PF-410,Nova Nova Waffle Chocolates- Belgian Chocolate
plant origin,1,PF-411,Nova Nova Choco Pockets- Classic Chocolate
flour improver,1,PF-411,Nova Nova Choco Pockets- Classic Chocolate
e01100,1,PF-411,Nova Nova Choco Pockets- Classic Chocolate
artificial flavouring substance - vanilla cake,1,PF-412,Hershey's Kisses Hazelnut 'N' Cookies Chocolate
‎unsweetened cocoa,1,PF-417,Lo Foods Dark CHOCOLATE BAR Hazelnut Premium Sugar Free Chocolate Rich Healthy Chocolates
artificial vanillin flavour,1,PF-420,Milka Raisins & Nuts Milk Chocolate
natural orange extract,1,PF-424,Darkins Indian Artisanal 63% Dark Orange Chocolate
cacao beans,1,PF-427,Darkins Indian Artisanal 70% Dark Cranberry & Chilli Chocolate
bhut jholokia chilli,1,PF-427,Darkins Indian Artisanal 70% Dark Cranberry & Chilli Chocolate
orange oil,1,PF-432,The Whole Truth Orange Dark Chocolate
artificial flavourings,1,PF-435,Lindt Lindor Smooth Melting Assorted Chocolates Cornet
blood orange solids,1,PF-436,Godiva Dark Chocolate Blood Orange Tablet Bar
natural vanilla cake flavouring,1,PF-436,Godiva Dark Chocolate Blood Orange Tablet Bar
min cocoa,1,PF-436,Godiva Dark Chocolate Blood Orange Tablet Bar
fat reduced cocoa powdaer,1,PF-437,Godiva Signature 72% Cacao Dark Chocolate
cocoa solids is minimum,1,PF-437,Godiva Signature 72% Cacao Dark Chocolate
tree nuts,1,PF-444,Toblerone Fruit & Nut Chocolate
orange juice from concentrate,1,PF-448,Lindt Excellence Orange Intense Dark Chocolate
lemon juice from concentrate,1,PF-448,Lindt Excellence Orange Intense Dark Chocolate
puffed quinoa,1,PF-449,Sugar Free D'lite Quinoa & Almonds Dark CHOCOLATE BAR
palm kernel fat,1,PF-450,Maltesers Chocolate
natural vanilla cake extract,1,PF-450,Maltesers Chocolate
rice crispies,1,PF-451,Cadbury 5 Star 3D CHOCOLATE BAR
raspberry crumble,1,PF-453,Chokola 45% Raspberry Chocolate Minis
refined palm kernel stearin,1,PF-454,Dukesh Truffel Butter Scotch Chocolate
refined salseed fat,1,PF-462,Ferrero Rocher Moments Pack
sunflowerseed oil,1,PF-462,Ferrero Rocher Moments Pack
high oleic acid,1,PF-462,Ferrero Rocher Moments Pack
503ii,1,PF-462,Ferrero Rocher Moments Pack
pass pass,1,PF-464,Pulse Kachcha Aam 50 Candies
strawberry juice concentrate,1,PF-468,Fruittella Strawberry Flavour Chewy Toffee Stick
binders,1,PF-472,Orbit Sugar-Free Mixed Fruit Chewing Gum Tube
strawberry flavour ingredients,1,PF-473,Chupa Chups Assorted Flavour Long Tubes
watermelon flavour ingredients,1,PF-473,Chupa Chups Assorted Flavour Long Tubes
mixed berry,1,PF-474,Skittles Wildberry Bite-Size Fruit Flavoured Candy
fennel seeds powder,1,PF-476,Tic Tac Seeds Fennel (Saunf)
triglycerides,1,PF-477,Doublemint Peppermint Chewy Mints Tube
sweetened rose petal paste,1,PF-479,Rangmunch Anardana Shots
pomegranate powder,1,PF-479,Rangmunch Anardana Shots
coriander seed powder,1,PF-479,Rangmunch Anardana Shots
citric crystals,1,PF-479,Rangmunch Anardana Shots
cumin seeds powder,1,PF-480,Tic Tac Seeds Jeera Blacksalt
natural identical flavours,1,PF-480,Tic Tac Seeds Jeera Blacksalt
dried ripe mango pulp,1,PF-481,Rangmunch Mango Masti Premium Mouth Frehsner
37c,1,PF-482,Alpenliebe Gold Caramel Toffee
natural food colours,1,PF-483,KOPIKO Cappuccino Coffee Candy
e15d,1,PF-483,KOPIKO Cappuccino Coffee Candy
and added nature - identical flavouring substances - strawberry,1,PF-485,Alpenliebe Juzt Jelly - Strawberry Flavour
amla,1,PF-486,"Sri Sri Tattva Candy - Amla, Delicious, Healthy & Digestive"
phyllanthus emblica,1,PF-486,"Sri Sri Tattva Candy - Amla, Delicious, Healthy & Digestive"
lodized,1,PF-487,Alpenliebe Gold Cream Strawberry Flavour Toffee
hydrogenated vegetable fat powder,1,PF-488,DERBY Tradissions Assorted Toffees
^corresponding to strawberry fruit juice,1,PF-490,Mentos Rainbow Assorted Flavour Chewy Toffee
^corresponding to orange fruit juice,1,PF-490,Mentos Rainbow Assorted Flavour Chewy Toffee
mint flavour,1,PF-490,Mentos Rainbow Assorted Flavour Chewy Toffee
corresponding to strawberry fruit juice,1,PF-492,Mentos Strawberry Flavour Toffee
hydrogenated vegetable fat contains permitted synthetic food colour,1,PF-494,Swad Swad Coffee Candy
gulkand chocolate,1,PF-496,Mapro Mazaana Chocolate Paan
and emulsifier,1,PF-497,Dukes Choco Centre Filled Eclairs - Rich & Creamy
numbers in brackets as per international numbering system,1,PF-497,Dukes Choco Centre Filled Eclairs - Rich & Creamy
vitamin c powder,1,PF-501,Swad Orange With Vitamin C Candy
paan leaf,1,PF-502,Swad Meetha Pan Paan Candy
kattha,1,PF-502,Swad Meetha Pan Paan Candy
laung,1,PF-502,Swad Meetha Pan Paan Candy
peppermint contains permitted synthetic food colour,1,PF-502,Swad Meetha Pan Paan Candy
pan,1,PF-502,Swad Meetha Pan Paan Candy
choco center,1,PF-503,Lotte Eclairs Coffy Bite Toffee
added flavours nature identical flavouring substances,1,PF-503,Lotte Eclairs Coffy Bite Toffee
black currant,1,PF-504,"Parle Poppins Candy - Fruit Flavoured Rolls, Tangy & Crunchy"
sunset yellow fcf,1,PF-506,Cocon Jelly - Mixed Fruit Flavour
brilliant blue fcf,1,PF-506,Cocon Jelly - Mixed Fruit Flavour
gelatine,1,PF-508,Haribo Goldbaren
safflower,1,PF-508,Haribo Goldbaren
spirulina,1,PF-508,Haribo Goldbaren
elderberry,1,PF-508,Haribo Goldbaren
aronia,1,PF-508,Haribo Goldbaren
peppermint,1,PF-509,CandyVille Mint Mello Flavoured Candy - Peppermint
center filling-cardamom paste nature identical flavouring substances,1,PF-510,DERBY Elaichi Éclair
nutrition per gram,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
piece,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
kcal total fat,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
0g saturated fat,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
0g protein,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
0g total carbohydrate,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
75g sodium,1,PF-517,Fox'S Crystal Clear Candy - Mint Flavour
menthol crystals,1,PF-518,CandyVille Mint Mello Flavoured Candy - Lime & Mint
fresh scraped coconut,1,PF-520,Manimark Kamarkat - Indian Sweet
artificial flavouring substances-lychee,1,PF-523,Hart Beat Sweets Love Candy - Lychee Flavoured
added nature identical and artificial flavouring substances,1,PF-528,Lotte Coffy Bite Classic
green mango,1,PF-529,Jelimals Space Adventure - Assorted Jelly Candy
nimbu ka sar,1,PF-532,Swad Digestive Candy
kali mirch,1,PF-532,Swad Digestive Candy
sonth,1,PF-532,Swad Digestive Candy
piplamul,1,PF-532,Swad Digestive Candy
lendi pipal,1,PF-532,Swad Digestive Candy
and mango powder,1,PF-535,Parle Mango Bite
red apple flavour,1,PF-537,Tic Tac Candy - Red Apple Treat
mixed masala,1,PF-542,Pulse Guava Candy - With Tangy Twist
guava flavour,1,PF-542,Pulse Guava Candy - With Tangy Twist
citric acid flavour,1,PF-543,Coco Cado Jelly - Assorted
colouring,1,PF-543,Coco Cado Jelly - Assorted
sorbic acid,1,PF-543,Coco Cado Jelly - Assorted
tutti frutti,1,PF-544,Chupa Chups Assorted Bubble Gum Filled Lollipop
dehydrated fruits powder,1,PF-544,Chupa Chups Assorted Bubble Gum Filled Lollipop
nature identical flavouring substance- orange,1,PF-545,DERBY Vitacin Orange Flavoured Candy
orange bits,1,PF-546,GO DESi Chilli Orange Desi Popz Lollipop Candy
tapioca strach,1,PF-546,GO DESi Chilli Orange Desi Popz Lollipop Candy
raw mango powder,1,PF-546,GO DESi Chilli Orange Desi Popz Lollipop Candy
base gum,1,PF-547,Boomer Strawberry Flavoured Chewing Gum
added strawberry flavour,1,PF-547,Boomer Strawberry Flavoured Chewing Gum
dry grapes,1,PF-548,Townbus Cornflakes Mixture - Namkeen
red chilly powder,1,PF-548,Townbus Cornflakes Mixture - Namkeen
ajowan,1,PF-549,Townbus Khara Boondi
multigrain flour,1,PF-551,bb Gooddiet Multigrain PUFFS - Chilli Chataka
multi-grain flour,1,PF-552,bb Gooddiet Multigrain Puffs - Butter Makhana
and anticaking agent,1,PF-552,bb Gooddiet Multigrain Puffs - Butter Makhana
nuts contains added flavours,1,PF-552,bb Gooddiet Multigrain Puffs - Butter Makhana
cassia leaf,1,PF-555,Tasties Origins Bakarwadi
cassia bark,1,PF-555,Tasties Origins Bakarwadi
whole bengal gram flakes,1,PF-556,Haldiram's Chana Jor Garam
gram dal flour,1,PF-557,Tasties Origins Gujarati Besan Papdi
omam,1,PF-558,Tasties Origins Ompudi Nylon Sev
tapioca pearls,1,PF-559,Mama Nourish Crunchy Sabudana Farali Chivda
natural anti-oxidant,1,PF-560,Slurrp Farm Cheese & Herbs Puff
jack fruit,1,PF-562,A-1 Chips Jack Fruit Chips
#spices,1,PF-564,Bingo! No Rulz Cheese Curlz
whole grain corn,1,PF-565,Slurrp Farm Choco Ragi Puffs
taali protein puff blend,1,PF-566,Taali Cheese & Herbs Protein Puffs
urad daal,1,PF-566,Taali Cheese & Herbs Protein Puffs
fried gram,1,PF-570,bb Gooddiet Mini Nippattu/ Mathri
flakes,1,PF-571,bb Gooddiet Crackers - Rock Salt & Pepper
jowar crisps,1,PF-573,Eat Better Co Millet Namkeen Mango Achari
nature identical flavouring,1,PF-575,Balaji Namkeen - Masala Sev Murmura
desi masala tadka flavour seasoning,1,PF-581,Pringles Potato Chips Desi Masala Tadka Flavour
vegetable powders,1,PF-581,Pringles Potato Chips Desi Masala Tadka Flavour
aciditi regrulator,1,PF-581,Pringles Potato Chips Desi Masala Tadka Flavour
pizza flavour seasoning,1,PF-582,Pringles Potato Chips Pizza Flavour
dried vegetable powders,1,PF-582,Pringles Potato Chips Pizza Flavour
dried fat emulsion,1,PF-582,Pringles Potato Chips Pizza Flavour
smoke,1,PF-582,Pringles Potato Chips Pizza Flavour
tangy tomato twist season,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
cayenne,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
corian,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
mss,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
flavour substance,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
regulator,1,PF-583,Pringles Potato Chips Tangy Tomato Twist
peri peri seasoning,1,PF-584,Pringles Potato Chips Peri Peri Flavour
red chilli pepper,1,PF-584,Pringles Potato Chips Peri Peri Flavour
herb extract,1,PF-584,Pringles Potato Chips Peri Peri Flavour
natural and artificial flavours,1,PF-585,Pringles Imported Potato Chips - Ranch
apple cider,1,PF-585,Pringles Imported Potato Chips - Ranch
degerminated yellow corn,1,PF-586,Pringles Imported Potato Crisps - BBQ
mono- and diglycerides,1,PF-586,Pringles Imported Potato Crisps - BBQ
hydrolyzed corn protein,1,PF-586,Pringles Imported Potato Crisps - BBQ
inosinate,1,PF-586,Pringles Imported Potato Crisps - BBQ
paprika extract colour,1,PF-586,Pringles Imported Potato Crisps - BBQ
sulphite,1,PF-588,Cadbury Oreo Original Chocolatey Sandwich Biscuits
‚ and dough conditioner,1,PF-589,Sunfeast Bounce Biscuits - Pineapple Creme Cookies
cumin black,1,PF-590,Bisk Farm Googly Biscuits
dhania,1,PF-590,Bisk Farm Googly Biscuits
lal mirchi,1,PF-590,Bisk Farm Googly Biscuits
dispersing agents,1,PF-591,Bisk Farm Top Biscuits - Butter Munch
refined edible vegetable oil,1,PF-592,Bisk Farm Biscuits - English Cracker
edible starches,1,PF-592,Bisk Farm Biscuits - English Cracker
cereal based beverage mix,1,PF-593,Bournvita Biscuits
15c,1,PF-593,Bournvita Biscuits
edible vegtable oil,1,PF-594,Priyagold Marie Lite
emulsifires,1,PF-594,Priyagold Marie Lite
digycerides of vegitable origin,1,PF-594,Priyagold Marie Lite
amonium bicarbonate,1,PF-594,Priyagold Marie Lite
sodium bicrbonate,1,PF-594,Priyagold Marie Lite
gough conditioner,1,PF-594,Priyagold Marie Lite
anti oxidant,1,PF-594,Priyagold Marie Lite
tertiary butyl hydroquinone,1,PF-594,Priyagold Marie Lite
artificial flavoring substance - ajwain,1,PF-595,bb Popular Bakery Biscuit - Ajwain
candied papata,1,PF-596,bb Popular Bakery Biscuit - Tooti Fruity
papaya fruit cubes,1,PF-596,bb Popular Bakery Biscuit - Tooti Fruity
artificial flavoring substance - mix fruit jam,1,PF-596,bb Popular Bakery Biscuit - Tooti Fruity
artificial flavoring substances,1,PF-597,bb Popular Traditional Jeera Bakery Biscuits
silver leaves,1,PF-599,Kaju Katli Classic
raagi crisps,1,PF-600,Dry Fruit Barfi
interesterified,1,PF-601,Grb Elachi Soancake
nature identical rose flavour,1,PF-601,Grb Elachi Soancake
ro water,1,PF-602,MTR Mysore Pak
interestified vegetable fat,1,PF-602,MTR Mysore Pak
roasted gram dal,1,PF-612,Sweet Karam Coffee White Sugar Free Ragi Laddu
white lentil flour,1,PF-614,Daadi's Badam Laddoo Pure Ghee
nature identical orange flavour,1,PF-617,Grb Orange Soanpapdi
and added artificial flavouring substances,1,PF-619,Haldiram's Badam Halwa
kunafa,1,PF-620,fresho! Signature Turkish Baklava
mixed dried fruits,1,PF-620,fresho! Signature Turkish Baklava
baklava mixture,1,PF-620,fresho! Signature Turkish Baklava
rabdi,1,PF-621,Amul Rasmalai
sjar,1,PF-623,Mithai Remix Mango Truffle Peda
sweetened khoa,1,PF-626,Chitale Bandhu Mawa Modak
added natural flavouring substance,1,PF-627,Bansiwala Paan Petha
pear millet,1,PF-629,Nandini Millet Laddu
finger millet flour,1,PF-629,Nandini Millet Laddu
urad dal flour,1,PF-630,Daadi's Atta Gond Laddoo
gond,1,PF-630,Daadi's Atta Gond Laddoo
sunflower seed oil,1,PF-632,Yu Jalapeno Cheese
black pepper corn,1,PF-632,Yu Jalapeno Cheese
spring onions,1,PF-632,Yu Jalapeno Cheese
carrot flakes,1,PF-634,Maggi Masala Cuppa Noodles
roasted garlic flakes,1,PF-634,Maggi Masala Cuppa Noodles
toasted onion powder,1,PF-635,MAGGI 2-Minute Instant Noodles
green cardamom powder,1,PF-635,MAGGI 2-Minute Instant Noodles
silica,1,PF-636,MTR Vegetable Upma
pasta,1,PF-637,MOM Cheesy Peri Peri Instant Pasta
cheesy peri peri sauce mix,1,PF-637,MOM Cheesy Peri Peri Instant Pasta
italian seasoning mix,1,PF-637,MOM Cheesy Peri Peri Instant Pasta
ginger-garlic,1,PF-638,Currychief Chettinad Curry
stoneflower,1,PF-638,Currychief Chettinad Curry
dehydrated red onion flakes,1,PF-639,MOM Poha With Bhujia
curry leaves bhujia,1,PF-639,MOM Poha With Bhujia
bean flour,1,PF-639,MOM Poha With Bhujia
coriander ex-tract,1,PF-640,Maggi Chilly Chow Cuppa Noodles
dehydrated carrot bits,1,PF-640,Maggi Chilly Chow Cuppa Noodles
made,1,PF-641,MTR Breakfast Khatta Meetha Poha Mix
dehydrated onion flakes,1,PF-641,MTR Breakfast Khatta Meetha Poha Mix
chicken fat,1,PF-642,Maggi Chicken Instant Noodles
dehydrated bread,1,PF-642,Maggi Chicken Instant Noodles
+roasted spice powder,1,PF-643,Maggi Special Masala Instant Noodles
nutneg,1,PF-643,Maggi Special Masala Instant Noodles
com-pounded asafoetida,1,PF-643,Maggi Special Masala Instant Noodles
tomate,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
coriander ginger,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
coriander seeds,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
cumin seeds turmeric,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
cinnamon black pepper,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
stararise,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
dry manga,1,PF-644,Gits Paneer Tikka Masala Ready to Eat
camin,1,PF-645,Gits Veg Biryani Ready to Eat
green cardamon,1,PF-645,Gits Veg Biryani Ready to Eat
caraway seeds,1,PF-645,Gits Veg Biryani Ready to Eat
fennel seeds rose mater sallon,1,PF-645,Gits Veg Biryani Ready to Eat
blackgram dal,1,PF-648,MTR Dosa Instant Mix
edible vegetable oil refined sunflower oil,1,PF-649,Cookd Black Pepper Kit
rawa,1,PF-650,MTR Roasted Vermicelli
condi-ments,1,PF-651,Aashirvaad Rava Idli Instant Mix
ca-shewnuts,1,PF-651,Aashirvaad Rava Idli Instant Mix
dehydrated green chilli powder,1,PF-651,Aashirvaad Rava Idli Instant Mix
dry red chilli,1,PF-653,Yu Cheesy VEG Carbonara - Korean Ramen Noodles
used as natural flavouring agent garnish,1,PF-654,Too Yumm K-Bomb Ramen Hot n Spicy Instant Noodles
spice extract blend,1,PF-656,Maggi Korean BBQ Veg Instant Noodles
curry spice extract blend,1,PF-656,Maggi Korean BBQ Veg Instant Noodles
rosemary extract oil,1,PF-656,Maggi Korean BBQ Veg Instant Noodles
high oleic sunflower oil,1,PF-656,Maggi Korean BBQ Veg Instant Noodles
masala mix,1,PF-657,YiPPee! Magic Masala Noodles with Added Veggies
caraway,1,PF-657,YiPPee! Magic Masala Noodles with Added Veggies
acidity regulators jins,1,PF-658,Sunfeast Yippee! Korean Noodles Fiery Hot
spice oleoresin,1,PF-658,Sunfeast Yippee! Korean Noodles Fiery Hot
zucchini,1,PF-658,Sunfeast Yippee! Korean Noodles Fiery Hot
corn kernel,1,PF-659,Yu Zingy Cheese Instant Cup Noodles
rave vitamins and minerals premix,1,PF-660,Bambino Elbow Macaroni Pasta
vitamin b3,1,PF-660,Bambino Elbow Macaroni Pasta
es niacinamide,1,PF-660,Bambino Elbow Macaroni Pasta
es thiemine mononitrate,1,PF-660,Bambino Elbow Macaroni Pasta
vitamin b9,1,PF-660,Bambino Elbow Macaroni Pasta
garlic cloves,1,PF-662,Ruchi magic Garlic Pickle
crushed,1,PF-662,Ruchi magic Garlic Pickle
split bengal gram dhal,1,PF-662,Ruchi magic Garlic Pickle
dal chana,1,PF-662,Ruchi magic Garlic Pickle
split black gram,1,PF-662,Ruchi magic Garlic Pickle
gobhi,1,PF-666,The Little Farm Co. Mixed Gobhi Gajar Shalgum Pickle
shalgum,1,PF-666,The Little Farm Co. Mixed Gobhi Gajar Shalgum Pickle
cold pressed mustard oil,1,PF-666,The Little Farm Co. Mixed Gobhi Gajar Shalgum Pickle
sunflower refined oil,1,PF-667,Dnv Appalam
teploca,1,PF-668,Wellfry Sabudana Red Chilli Papad
red chill,1,PF-668,Wellfry Sabudana Red Chilli Papad
retention agent,1,PF-669,Del Monte Sliced Black Olives
mint powder,1,PF-671,Daishik Green Chutney
sprouted millets,1,PF-673,MTR Schezwan Idli Mix
sundried vegetables,1,PF-673,MTR Schezwan Idli Mix
black gram dal,1,PF-674,MTR Gourmet Butter Idli Mix
chick pea flour,1,PF-675,Gits Khaman Dhokla Instant Snack Mix
sweet pepper,1,PF-676,Golden Prize Tuna Spread In Mayonnaise
natural flavour sprinkler,1,PF-677,Cookd Tandoori Tikka Kit
natural flavour oil,1,PF-677,Cookd Tandoori Tikka Kit
manchurian seasoning,1,PF-678,Wok N Roll Manchurian Masala
sprouted masoor,1,PF-680,Gladful Choco Pancake Sprouted Millets and Masoor Mix
jawar,1,PF-680,Gladful Choco Pancake Sprouted Millets and Masoor Mix
oats idli premix,1,PF-681,Madmix Oats Idli With Free Chutney
gram,1,PF-681,Madmix Oats Idli With Free Chutney
chick peas,1,PF-684,Hocco Pindi Chole Rice Combo
kitchen king,1,PF-684,Hocco Pindi Chole Rice Combo
pomegranate seed dry,1,PF-684,Hocco Pindi Chole Rice Combo
chickpeas white,1,PF-685,Hocco Chana Masala
kashmiri chilli powder,1,PF-687,Hocco Mumbai Bhaji
organic wholegrain brown rice,1,PF-690,Pintola Organic Wholegrain Brown Rice Cakes
nature identical flavors,1,PF-691,Wakao Jackfruit Biryani
veg seasoning,1,PF-692,Hocco Dal Makhani
split gram,1,PF-694,Gits Heat & Eat Pau Bhaji
stone flower,1,PF-694,Gits Heat & Eat Pau Bhaji
dehydrated ginger bits,1,PF-695,Knorr Chinese Manchurian Gravy Mix
rajmah,1,PF-697,Kitchens Of India Rajma Masala
cereal discs,1,PF-699,Nestle Cerelac Multigrain & Fruits Baby Food Cereal
dehydrated apple bits,1,PF-699,Nestle Cerelac Multigrain & Fruits Baby Food Cereal
cherry flakes,1,PF-699,Nestle Cerelac Multigrain & Fruits Baby Food Cereal
multigrain flour blend,1,PF-701,Slurrp Farm Ragi Rice Strawberry Instant Healthy Cereal
fruit powder blend,1,PF-701,Slurrp Farm Ragi Rice Strawberry Instant Healthy Cereal
papaya pieces,1,PF-704,Puramate Tooty Fruity Mix
dark compound choco chips,1,PF-705,Betty Crocker Triple Chocolate Brownie Instant Cake Mix Powder
white compound chips,1,PF-705,Betty Crocker Triple Chocolate Brownie Instant Cake Mix Powder
is341,1,PF-705,Betty Crocker Triple Chocolate Brownie Instant Cake Mix Powder
edible vegetable fat interesterified,1,PF-712,MTR Gulab Jamun Mix
and colour,1,PF-713,Pillsbury Chocolate Flavour Pancake Mix 2-Minute Pancake Mix For Kids
jelly mix,1,PF-715,Weikfield Jelly Crystals Strawberry Flavour Carton
nature identical flavouring substance - strawberry,1,PF-715,Weikfield Jelly Crystals Strawberry Flavour Carton
jelly premix,1,PF-715,Weikfield Jelly Crystals Strawberry Flavour Carton
popped corn,1,PF-716,ACT II Sweet & Salty Popcorn
whole grain rolled oats,1,PF-718,Quaker Oats Breakfast Cereal
vitamin a and riboflavin,1,PF-718,Quaker Oats Breakfast Cereal
artificial - coconut,1,PF-719,Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast
candied cranberry,1,PF-719,Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast
seed,1,PF-719,Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast
black currants,1,PF-719,Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast
multigrain flour mix,1,PF-721,Kellogg's Multigrain Chocos
natural identical flavouring substances,1,PF-722,Kellogg's Corn Flakes With Real Strawberry
strawberry puree,1,PF-722,Kellogg's Corn Flakes With Real Strawberry
dehydrated fruits,1,PF-723,Yoga Bar Super High Protein Muesli
probiotics,1,PF-723,Yoga Bar Super High Protein Muesli
bacillus coagulans snz1969,1,PF-723,Yoga Bar Super High Protein Muesli
million cfu per serve,1,PF-723,Yoga Bar Super High Protein Muesli
natural vanilla cake,1,PF-724,"Yoga Bar Wholegrain Breakfast Muesli-Dark Chocolate+Cranberry,Granola"
apple fiber,1,PF-724,"Yoga Bar Wholegrain Breakfast Muesli-Dark Chocolate+Cranberry,Granola"
rda,1,PF-725,Manna Oats Pouch
carbohydrates,1,PF-725,Manna Oats Pouch
soluble dietary fibre,1,PF-725,Manna Oats Pouch
